Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
253949|005c49f3-6ecf-4b55-8b27-1dc7269ed715|grp_Beschädigung-5_num_34_id_146959363.jpg|BA|Z1|verformt|instandsetzen und lackieren|schweller rechts - schweller|431.5|deformed|repair and paint| sill right - sill|schweller rechts|schweller|./person/person_1/data/img/grp_Beschädigung-5_num_34_id_146959363.jpg|sill right|sill|False|False|./person/person_1/data/annotation/grp_Beschädigung-5_num_34_id_146959363.xml
142999|0179ddee-2eff-467f-ab06-90e086bfef1e|grp_Beschädigung-16_num_54_id_142245117.jpg|5K|P6|verformt|instandsetzen und lackieren|tür hinten rechts - tür|550.0|deformed|repair and paint| door behind right - door|tür hinten rechts|tür|./person/person_1/data/img/grp_Beschädigung-16_num_54_id_142245117.jpg|door behind right|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-16_num_54_id_142245117.xml
5282|02f5f929-2d23-464c-8a2e-fa569153dcbc|grp_Beschädigung-15_num_43_id_160209671.jpg|1Z|1Z|verformt|instandsetzen und lackieren|tür vorn rechts - tür|495.0|deformed|repair and paint| door front right - door|tür vorn rechts|tür|./person/person_1/data/img/grp_Beschädigung-15_num_43_id_160209671.jpg|door front right|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-15_num_43_id_160209671.xml
157256|046ee289-bb20-43b3-9eef-077ed91be493|grp_Beschädigung-7_num_52_id_130975854.jpg|36|2T|verformt|instandsetzen und lackieren|tür hinten links - tür|289.59|deformed|repair and paint| door behind left - door|tür hinten links|tür|./person/person_1/data/img/grp_Beschädigung-7_num_52_id_130975854.jpg|door behind left|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-7_num_52_id_130975854.xml
192955|0487e739-63d5-4120-ac51-d19411b39746|grp_Beschädigung-9_num_41_id_160493966.jpg|3G|2T|verformt|instandsetzen und lackieren|seitenwand links - seitenwand|579.32|deformed|repair and paint| Side wall left - Side wall|seitenwand links|seitenwand|./person/person_1/data/img/grp_Beschädigung-9_num_41_id_160493966.jpg|Side wall left|Side wall|False|False|./person/person_1/data/annotation/grp_Beschädigung-9_num_41_id_160493966.xml
58804|051b0cf6-efdc-47d8-870a-20692075c69c|grp_Beschädigung-3_num_23_id_141658681.jpg|8K|L8|verformt|erneuern|stossfänger hinten - spoiler|250.0|deformed|renew| bumper behind - spoiler|stossfänger hinten|spoiler|./person/person_1/data/img/grp_Beschädigung-3_num_23_id_141658681.jpg|bumper behind|spoiler|False|False|./person/person_1/data/annotation/grp_Beschädigung-3_num_23_id_141658681.xml
147203|055a944b-d439-44d6-8273-8167b6e1e3e0|grp_Beschädigung-16_num_85_id_153688884.jpg|36|2T|verformt|instandsetzen und lackieren|tür hinten rechts - tür|441.16|deformed|repair and paint| door behind right - door|tür hinten rechts|tür|./person/person_1/data/img/grp_Beschädigung-16_num_85_id_153688884.jpg|door behind right|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-16_num_85_id_153688884.xml
37214|0693e0ca-fa16-41e8-a227-1b435cfce6df|grp_Beschädigung-20_num_65_id_153616895.jpg|4F|7X|verformt|instandsetzen und lackieren|seitenwand rechts - seitenwand|460.0|deformed|repair and paint| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_1/data/img/grp_Beschädigung-20_num_65_id_153616895.jpg|Side wall right|Side wall|False|False|./person/person_1/data/annotation/grp_Beschädigung-20_num_65_id_153616895.xml
219598|06afbc6f-8e33-49ef-a4f4-420755f1ed12|grp_Beschädigung-12_num_65_id_125193756.jpg|12|B4|verformt|instandsetzen und lackieren|schweller rechts - schweller|341.7|deformed|repair and paint| sill right - sill|schweller rechts|schweller|./person/person_1/data/img/grp_Beschädigung-12_num_65_id_125193756.jpg|sill right|sill|False|False|./person/person_1/data/annotation/grp_Beschädigung-12_num_65_id_125193756.xml
80593|084649d4-63bc-4b7c-9a03-83b606c39295|grp_Beschädigung-20_num_41_id_128152030.jpg|2E|T7|verformt|instandsetzen und lackieren|tür vorn rechts - tür|487.76|deformed|repair and paint| door front right - door|tür vorn rechts|tür|./person/person_1/data/img/grp_Beschädigung-20_num_41_id_128152030.jpg|door front right|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-20_num_41_id_128152030.xml
