Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
9370|004db803-f2c4-4f4e-9dad-944ed3c6b0e6|grp_Beschädigung-12_num_66_id_147448970.jpg|5L|1Z|verkratzt / verschürft|wertminderung|2.radsatz - 3 leichtmetallfelgen|600.0|scratched-stained|impairment| 2.gearset - 3 alloy wheels|2.radsatz|3 leichtmetallfelgen|./person/person_1/data/img/grp_Beschädigung-12_num_66_id_147448970.jpg|2.gearset|3 alloy wheels|False|False|./person/person_1/data/annotation/grp_Beschädigung-12_num_66_id_147448970.xml
28145|01fedc1e-b4e9-4eb2-82d7-862642572e76|grp_Beschädigung-4_num_37_id_144541646.jpg|5F|T4|verkratzt / verschürft|wertminderung|rad/reifen - leichtmetallfelge vorn rechts|120.0|scratched-stained|impairment| wheel / tyre - alloy wheels front right|rad/reifen|leichtmetallfelge vorn rechts|./person/person_1/data/img/grp_Beschädigung-4_num_37_id_144541646.jpg|wheel / tyre|alloy wheels front right|False|False|./person/person_1/data/annotation/grp_Beschädigung-4_num_37_id_144541646.xml
210582|025358af-795d-4ed5-94e1-461bbd046a28|grp_Beschädigung-2_num_38_id_132497997.jpg|7N|5K|verkratzt / verschürft|smart repair|außenspiegel rechts - abdeckkappe|60.0|scratched-stained|smart repair| outside mirror right - cover cap|außenspiegel rechts|abdeckkappe|./person/person_1/data/img/grp_Beschädigung-2_num_38_id_132497997.jpg|outside mirror right|cover cap|False|False|./person/person_1/data/annotation/grp_Beschädigung-2_num_38_id_132497997.xml
126469|02e9e8be-c1cf-453e-9939-73b2a8c874cb|grp_Beschädigung-7_num_35_id_129742438.jpg|5N|2T|verkratzt / verschürft|lackieren|außenspiegel rechts - abdeckkappe|85.0|scratched-stained|paint| outside mirror right - cover cap|außenspiegel rechts|abdeckkappe|./person/person_1/data/img/grp_Beschädigung-7_num_35_id_129742438.jpg|outside mirror right|cover cap|False|False|./person/person_1/data/annotation/grp_Beschädigung-7_num_35_id_129742438.xml
244384|03bab1a7-19f0-456b-9a91-7f45c0f8784b|grp_Beschädigung-5_num_31_id_164049002.jpg|BA|Z2|verkratzt / verschürft|wertminderung|rad/reifen - leichtmetallfelge vorn links|100.0|scratched-stained|impairment| wheel / tyre - alloy wheels front left|rad/reifen|leichtmetallfelge vorn links|./person/person_1/data/img/grp_Beschädigung-5_num_31_id_164049002.jpg|wheel / tyre|alloy wheels front left|False|False|./person/person_1/data/annotation/grp_Beschädigung-5_num_31_id_164049002.xml
178274|040ec85f-6769-4ed0-a827-7e16da44783d|grp_Beschädigung-13_num_72_id_133853686.jpg|36|2T|verkratzt / verschürft|wertminderung|2.radsatz - 3 leichtmetallfelgen|450.0|scratched-stained|impairment| 2.gearset - 3 alloy wheels|2.radsatz|3 leichtmetallfelgen|./person/person_1/data/img/grp_Beschädigung-13_num_72_id_133853686.jpg|2.gearset|3 alloy wheels|False|False|./person/person_1/data/annotation/grp_Beschädigung-13_num_72_id_133853686.xml
141568|053d6014-f439-4642-b570-1759d362a000|grp_Beschädigung-10_num_20_id_129222084.jpg|5K|G2|verkratzt / verschürft|wertminderung|rad/reifen - leichtmetallfelge hinten links|100.0|scratched-stained|impairment| wheel / tyre - alloy wheels behind left|rad/reifen|leichtmetallfelge hinten links|./person/person_1/data/img/grp_Beschädigung-10_num_20_id_129222084.jpg|wheel / tyre|alloy wheels behind left|False|False|./person/person_1/data/annotation/grp_Beschädigung-10_num_20_id_129222084.xml
74742|0591f68c-0b95-45ac-bfe0-98b50b32fbcd|grp_Beschädigung-10_num_45_id_159956053.jpg|8V|A2|verkratzt / verschürft|smart repair|rad/reifen - leichtmetallfelge hinten links|120.0|scratched-stained|smart repair| wheel / tyre - alloy wheels behind left|rad/reifen|leichtmetallfelge hinten links|./person/person_1/data/img/grp_Beschädigung-10_num_45_id_159956053.jpg|wheel / tyre|alloy wheels behind left|False|False|./person/person_1/data/annotation/grp_Beschädigung-10_num_45_id_159956053.xml
208214|06c6b27f-e2a8-4b7c-bb9f-3996dfe5a213|grp_Beschädigung-1_num_26_id_140616494.jpg|6C|A1|verkratzt / verschürft|auslegen / polieren|tür vorn links - tür|20.0|scratched-stained|lay out / polish| door front left - door|tür vorn links|tür|./person/person_1/data/img/grp_Beschädigung-1_num_26_id_140616494.jpg|door front left|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-1_num_26_id_140616494.xml
223211|070b7ad1-c699-4069-bbe3-7ec67a6ef910|grp_Beschädigung-3_num_30_id_142804304.jpg|12|B4|verkratzt / verschürft|lackieren|seitenwand links - seitenwand|305.65|scratched-stained|paint| Side wall left - Side wall|seitenwand links|seitenwand|./person/person_1/data/img/grp_Beschädigung-3_num_30_id_142804304.jpg|Side wall left|Side wall|False|False|./person/person_1/data/annotation/grp_Beschädigung-3_num_30_id_142804304.xml
233177|077e925d-a550-4d4b-883e-a8e8c75bb6c6|grp_Beschädigung-13_num_67_id_133854859.jpg|5G|8E|verkratzt / verschürft|lackieren|tür vorn rechts - tür|380.89|scratched-stained|paint| door front right - door|tür vorn rechts|tür|./person/person_1/data/img/grp_Beschädigung-13_num_67_id_133854859.jpg|door front right|door|False|False|./person/person_1/data/annotation/grp_Beschädigung-13_num_67_id_133854859.xml
212486|07fecb69-46be-4bbd-9a0e-ba327cca50cc|grp_Beschädigung-6_num_46_id_139238465.jpg|7N|Z2|verkratzt / verschürft|wertminderung|rad/reifen - leichtmetallfelge vorn links|150.0|scratched-stained|impairment| wheel / tyre - alloy wheels front left|rad/reifen|leichtmetallfelge vorn links|./person/person_1/data/img/grp_Beschädigung-6_num_46_id_139238465.jpg|wheel / tyre|alloy wheels front left|False|False|./person/person_1/data/annotation/grp_Beschädigung-6_num_46_id_139238465.xml
