Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
232032|61f71213-7e51-44a1-ae56-91fac5fd9d74|grp_Beschädigung-11_num_59_id_155373338.jpg|5G|A1|delle / lackschaden|instandsetzen und lackieren|tür vorn rechts - tür|394.7|dent-paint_damage|repair and paint| door front right - door|tür vorn rechts|tür|./person/person_3/data/img/grp_Beschädigung-11_num_59_id_155373338.jpg|door front right|door|False|False|./person/person_3/data/annotation/grp_Beschädigung-11_num_59_id_155373338.xml
272971|764a33fa-f5dd-4415-9625-7e26605b670f|grp_Beschädigung-7_num_34_id_137130592.jpg|BA|8E|delle / lackschaden|instandsetzen und lackieren|tür vorn rechts - tür|388.83|dent-paint_damage|repair and paint| door front right - door|tür vorn rechts|tür|./person/person_3/data/img/grp_Beschädigung-7_num_34_id_137130592.jpg|door front right|door|False|False|./person/person_3/data/annotation/grp_Beschädigung-7_num_34_id_137130592.xml
139987|005da7f8-b635-43f6-b411-21ac4d175b8d|grp_Beschädigung-23_num_66_id_139813450.jpg|1K|Z4|delle / lackschaden|instandsetzen und lackieren|tür hinten rechts - tür|289.9|dent-paint_damage|repair and paint| door behind right - door|tür hinten rechts|tür|./person/person_3/data/img/grp_Beschädigung-23_num_66_id_139813450.jpg|door behind right|door|False|False|./person/person_3/data/annotation/grp_Beschädigung-23_num_66_id_139813450.xml
137758|19bed18e-e966-4d56-8d9f-5a72ac95b795|grp_Beschädigung-8_num_40_id_135034928.jpg|5C|0Q|delle / lackschaden|erneuern|schweller rechts - schweller|1190.0|dent-paint_damage|renew| sill right - sill|schweller rechts|schweller|./person/person_3/data/img/grp_Beschädigung-8_num_40_id_135034928.jpg|sill right|sill|False|False|./person/person_3/data/annotation/grp_Beschädigung-8_num_40_id_135034928.xml
173793|6eec8981-f57c-4380-8058-2f6d962dc281|grp_Beschädigung-4_num_38_id_151118219.jpg|36|8E|delle / lackschaden|smart repair|seitenwand links - seitenwand|200.0|dent-paint_damage|smart repair| Side wall left - Side wall|seitenwand links|seitenwand|./person/person_3/data/img/grp_Beschädigung-4_num_38_id_151118219.jpg|Side wall left|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-4_num_38_id_151118219.xml
198193|ddc95c89-ce75-4d73-99ef-6c9520360992|grp_Beschädigung-7_num_23_id_125539918.jpg|3G|Z2|delle / lackschaden|smart repair|seitenwand links - einstieg|120.0|dent-paint_damage|smart repair| Side wall left - Started|seitenwand links|einstieg|./person/person_3/data/img/grp_Beschädigung-7_num_23_id_125539918.jpg|Side wall left|Started|False|False|./person/person_3/data/annotation/grp_Beschädigung-7_num_23_id_125539918.xml
258337|9baf0ef9-2867-437d-af76-ce99b20c5b6e|grp_Beschädigung-18_num_68_id_166810680.jpg|BA|8E|delle / lackschaden|instandsetzen und lackieren|seitenwand rechts - seitenwand|316.62|dent-paint_damage|repair and paint| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-18_num_68_id_166810680.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-18_num_68_id_166810680.xml
14729|42b60a27-62b2-4655-8f11-d82b97af5060|grp_Beschädigung-2_num_38_id_136317071.jpg|5E|1Z|delle / lackschaden|instandsetzen und lackieren|tür vorn links - tür|152.85|dent-paint_damage|repair and paint| door front left - door|tür vorn links|tür|./person/person_3/data/img/grp_Beschädigung-2_num_38_id_136317071.jpg|door front left|door|False|False|./person/person_3/data/annotation/grp_Beschädigung-2_num_38_id_136317071.xml
148886|4bbf3989-bd4d-4682-948a-140909118a29|grp_Beschädigung-9_num_45_id_123096667.jpg|36|8E|delle / lackschaden|instandsetzen und lackieren|seitenwand links - seitenwand|475.0|dent-paint_damage|repair and paint| Side wall left - Side wall|seitenwand links|seitenwand|./person/person_3/data/img/grp_Beschädigung-9_num_45_id_123096667.jpg|Side wall left|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-9_num_45_id_123096667.xml
191063|7b0c446b-09f1-4b4f-a529-83bcd29b78ef|grp_Beschädigung-4_num_36_id_166347649.jpg|3G|2T|delle / lackschaden|instandsetzen und lackieren|tür vorn rechts - tür|473.83|dent-paint_damage|repair and paint| door front right - door|tür vorn rechts|tür|./person/person_3/data/img/grp_Beschädigung-4_num_36_id_166347649.jpg|door front right|door|False|False|./person/person_3/data/annotation/grp_Beschädigung-4_num_36_id_166347649.xml
