Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
245584|0fe97ef1-cb0f-4ebb-ba4a-f609dd684301|grp_Beschädigung-12_num_51_id_158650177.jpg|BA|2T|dellen|sanft instandsetzen|tür vorn links - tür|80.0|dent|gently repair| door front left - door|tür vorn links|tür|./person/person_3/data/img/grp_Beschädigung-12_num_51_id_158650177.jpg|door front left|door|False|False|./person/person_3/data/annotation/grp_Beschädigung-12_num_51_id_158650177.xml
111417|a9b0f891-de80-4e84-9e10-0d69bcc073da|grp_Beschädigung-2_num_41_id_132441635.jpg|1T|8E|dellen|smart repair|seitenwand rechts - seitenwand|100.0|dent|smart repair| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-2_num_41_id_132441635.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-2_num_41_id_132441635.xml
118174|5bfe93b8-53d4-4f0f-8d15-9ef728e67329|grp_Beschädigung-4_num_41_id_141561929.jpg|1T|2T|dellen|smart repair|seitenwand rechts - seitenwand|80.0|dent|smart repair| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-4_num_41_id_141561929.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-4_num_41_id_141561929.xml
12309|a0bba029-635a-40e3-90d8-6a832f5db380|grp_Beschädigung-7_num_26_id_151415401.jpg|NJ|1Z|dellen|instandsetzen und lackieren|seitenwand rechts - seitenwand|164.55|dent|repair and paint| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-7_num_26_id_151415401.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-7_num_26_id_151415401.xml
107704|849446ec-8fcd-45fb-a74b-26b07b16b237|grp_Beschädigung-6_num_44_id_145421792.jpg|1T|8E|dellen|instandsetzen und lackieren|seitenwand rechts - seitenwand|261.7|dent|repair and paint| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-6_num_44_id_145421792.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-6_num_44_id_145421792.xml
251153|995e11f2-03f3-490e-91b5-4b732977f10f|grp_Beschädigung-7_num_45_id_122673818.jpg|BA|5K|dellen|instandsetzen und lackieren|seitenwand rechts - seitenwand|650.0|dent|repair and paint| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-7_num_45_id_122673818.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-7_num_45_id_122673818.xml
125531|77450780-90a5-4d52-bfd5-03a955c10d46|grp_Beschädigung-4_num_38_id_131944788.jpg|5N|U5|dellen|smart repair|seitenwand links - einstieg|120.0|dent|smart repair| Side wall left - Started|seitenwand links|einstieg|./person/person_3/data/img/grp_Beschädigung-4_num_38_id_131944788.jpg|Side wall left|Started|False|False|./person/person_3/data/annotation/grp_Beschädigung-4_num_38_id_131944788.xml
185885|e1092346-1380-4344-8c51-bea44d3ba0c1|grp_Beschädigung-3_num_33_id_167087207.jpg|3G|2T|dellen|smart repair|seitenwand rechts - seitenwand|80.0|dent|smart repair| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-3_num_33_id_167087207.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-3_num_33_id_167087207.xml
223571|a8497f06-aabb-4387-a3c9-744be0cfe575|grp_Beschädigung-4_num_37_id_124241282.jpg|12|B4|dellen|smart repair|schweller rechts - einstieg|120.0|dent|smart repair| sill right - Started|schweller rechts|einstieg|./person/person_3/data/img/grp_Beschädigung-4_num_37_id_124241282.jpg|sill right|Started|False|False|./person/person_3/data/annotation/grp_Beschädigung-4_num_37_id_124241282.xml
127435|7900ceff-4e53-4258-b8ea-ae7abfbbdcc5|grp_Beschädigung-2_num_30_id_127718956.jpg|5N|2T|dellen|sanft instandsetzen|seitenwand rechts - seitenwand|80.0|dent|gently repair| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_3/data/img/grp_Beschädigung-2_num_30_id_127718956.jpg|Side wall right|Side wall|False|False|./person/person_3/data/annotation/grp_Beschädigung-2_num_30_id_127718956.xml
94053|3aca2ce0-3322-495f-ac79-09d5a24e7de3|grp_Beschädigung-3_num_19_id_149014767.jpg|7E|B4|dellen|smart repair|schweller rechts - einstieg|120.0|dent|smart repair| sill right - Started|schweller rechts|einstieg|./person/person_3/data/img/grp_Beschädigung-3_num_19_id_149014767.jpg|sill right|Started|False|False|./person/person_3/data/annotation/grp_Beschädigung-3_num_19_id_149014767.xml
