Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
57294|a6286652-3b9b-499d-a83e-46b2f65c39e6|grp_Beschädigung-7_num_41_id_166626669.jpg|8K|S9|gebrochen / gerissen|erneuern|verglasung - frontscheibe mit regensensor|620.0|broken-torn|renew| glazing - windshield with rain sensor|verglasung|frontscheibe mit regensensor|./person/person_4/data/img/grp_Beschädigung-7_num_41_id_166626669.jpg|glazing|windshield with rain sensor|False|False|./person/person_4/data/annotation/grp_Beschädigung-7_num_41_id_166626669.xml
34591|cd19eaee-f098-4ec4-a74d-6e9748048177|grp_Beschädigung-3_num_17_id_135137830.jpg|71|X3|gebrochen / gerissen|erneuern|karosserie - unterbodenverkleidung|89.76|broken-torn|renew| body - underbody paneling|karosserie|unterbodenverkleidung|./person/person_4/data/img/grp_Beschädigung-3_num_17_id_135137830.jpg|body|underbody paneling|False|False|./person/person_4/data/annotation/grp_Beschädigung-3_num_17_id_135137830.xml
107740|539df866-5787-41b2-b247-9e2dbf4041bb|grp_Beschädigung-9_num_33_id_168855389.jpg|1T|U5|gebrochen / gerissen|erneuern|verglasung - frontscheibe|541.96|broken-torn|renew| glazing - windshield|verglasung|frontscheibe|./person/person_4/data/img/grp_Beschädigung-9_num_33_id_168855389.jpg|glazing|windshield|False|False|./person/person_4/data/annotation/grp_Beschädigung-9_num_33_id_168855389.xml
172997|0914bc03-88f1-48b1-bab4-5d18a4075e51|grp_Beschädigung-9_num_34_id_158611494.jpg|36|2T|gebrochen / gerissen|smart repair|sitz vorn - sitzbezug links|120.0|broken-torn|smart repair| Seat front - seat cover left|sitz vorn|sitzbezug links|./person/person_4/data/img/grp_Beschädigung-9_num_34_id_158611494.jpg|Seat front|seat cover left|False|False|./person/person_4/data/annotation/grp_Beschädigung-9_num_34_id_158611494.xml
214295|d3091fb1-ebf3-4663-831a-2950a8689179|grp_Beschädigung-1_num_41_id_145227564.jpg|7N|2T|gebrochen / gerissen|erneuern|stossfänger vorn - lufteinlassgitter|79.9|broken-torn|renew| bumper front - Air inlet grid|stossfänger vorn|lufteinlassgitter|./person/person_4/data/img/grp_Beschädigung-1_num_41_id_145227564.jpg|bumper front|Air inlet grid|False|False|./person/person_4/data/annotation/grp_Beschädigung-1_num_41_id_145227564.xml
63310|f3e13f5c-a89f-4f71-8555-3ed8eb4b1dab|grp_Beschädigung-3_num_28_id_155222781.jpg|8R|L8|gebrochen / gerissen|erneuern|karosserie - unterbodenverkleidung|100.0|broken-torn|renew| body - underbody paneling|karosserie|unterbodenverkleidung|./person/person_4/data/img/grp_Beschädigung-3_num_28_id_155222781.jpg|body|underbody paneling|False|False|./person/person_4/data/annotation/grp_Beschädigung-3_num_28_id_155222781.xml
98111|168cd671-195d-43d3-9bad-37fa9fb627fb|grp_Beschädigung-11_num_39_id_157301382.jpg|SG|B4|gebrochen / gerissen|erneuern|verglasung - frontscheibe|585.82|broken-torn|renew| glazing - windshield|verglasung|frontscheibe|./person/person_4/data/img/grp_Beschädigung-11_num_39_id_157301382.jpg|glazing|windshield|False|False|./person/person_4/data/annotation/grp_Beschädigung-11_num_39_id_157301382.xml
97437|11bb9e3d-497e-43ad-9e16-d5354c80cbf7|grp_Beschädigung-2_num_15_id_151790492.jpg|SG|B4|gebrochen / gerissen|erneuern|stossfänger hinten - rückstrahler rechts|35.0|broken-torn|renew| bumper behind - reflector right|stossfänger hinten|rückstrahler rechts|./person/person_4/data/img/grp_Beschädigung-2_num_15_id_151790492.jpg|bumper behind|reflector right|False|False|./person/person_4/data/annotation/grp_Beschädigung-2_num_15_id_151790492.xml
166675|7af39c8f-2bfd-4e1f-a9e1-855776e1c420|grp_Beschädigung-4_num_16_id_122120034.jpg|35|3Q|gebrochen / gerissen|erneuern|karosserie - unterbodenverkleidung|70.0|broken-torn|renew| body - underbody paneling|karosserie|unterbodenverkleidung|./person/person_4/data/img/grp_Beschädigung-4_num_16_id_122120034.jpg|body|underbody paneling|False|False|./person/person_4/data/annotation/grp_Beschädigung-4_num_16_id_122120034.xml
149708|f7b91afb-e860-4f1b-ba4a-196ea6f926ae|grp_Beschädigung-4_num_42_id_126828247.jpg|36|2T|gebrochen / gerissen|erneuern|verglasung - frontscheibe|629.0|broken-torn|renew| glazing - windshield|verglasung|frontscheibe|./person/person_4/data/img/grp_Beschädigung-4_num_42_id_126828247.jpg|glazing|windshield|False|False|./person/person_4/data/annotation/grp_Beschädigung-4_num_42_id_126828247.xml
