Unnamed: 0|uid|bildname|mbv|color|damage|action|part|cost|damage_en|action_en|part_en|part_p1|part_p2|img_file_path|part_p1_en|part_p2_en|dirty|status|ann_file_path
176644|66eab649-204a-4cff-979f-835ab44b4e64|grp_Beschädigung-4_num_38_id_160089999.jpg|36|2T|kratzer|lackieren|tür vorn links - tür|290.68|scratch|paint| door front left - door|tür vorn links|tür|./person/person_5/data/img/grp_Beschädigung-4_num_38_id_160089999.jpg|door front left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_38_id_160089999.xml
157661|fe037765-9254-44b5-a09a-19380f9125f9|grp_Beschädigung-10_num_57_id_130706570.jpg|36|2T|kratzer|lackieren|tür hinten rechts - tür|289.59|scratch|paint| door behind right - door|tür hinten rechts|tür|./person/person_5/data/img/grp_Beschädigung-10_num_57_id_130706570.jpg|door behind right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-10_num_57_id_130706570.xml
114130|027ca267-0c5a-4673-ba7d-27e543b44b0c|grp_Beschädigung-2_num_25_id_144284682.jpg|1T|U5|kratzer|auslegen / polieren|tür hinten links - türkante|90.0|scratch|lay out / polish| door behind left - door edge|tür hinten links|türkante|./person/person_5/data/img/grp_Beschädigung-2_num_25_id_144284682.jpg|door behind left|door edge|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_25_id_144284682.xml
177703|7738c428-3f17-46fc-b73e-02a0d7fbfced|grp_Beschädigung-13_num_49_id_124994743.jpg|36|B4|kratzer|lackieren|fahrzeugdach - dach|585.6|scratch|paint| vehicle roof - top|fahrzeugdach|dach|./person/person_5/data/img/grp_Beschädigung-13_num_49_id_124994743.jpg|vehicle roof|top|False|False|./person/person_5/data/annotation/grp_Beschädigung-13_num_49_id_124994743.xml
240936|0dd28387-5843-4250-9cb7-045558e78368|grp_Beschädigung-4_num_37_id_151118778.jpg|BA|2T|kratzer|lackieren|tür hinten rechts - tür|327.43|scratch|paint| door behind right - door|tür hinten rechts|tür|./person/person_5/data/img/grp_Beschädigung-4_num_37_id_151118778.jpg|door behind right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_37_id_151118778.xml
132799|85ee602e-0149-4f97-a6d7-dd2929170980|grp_Beschädigung-3_num_45_id_130298975.jpg|7P|0Q|kratzer|lackieren|schweller links - einstieg|218.03|scratch|paint| sill left - Started|schweller links|einstieg|./person/person_5/data/img/grp_Beschädigung-3_num_45_id_130298975.jpg|sill left|Started|False|False|./person/person_5/data/annotation/grp_Beschädigung-3_num_45_id_130298975.xml
86728|94f30d98-dc3d-455d-bc7d-630e90a4fba0|grp_Beschädigung-1_num_19_id_156155349.jpg|2E|B4|kratzer|lackieren|seitenwand rechts - radlauf|171.32|scratch|paint| Side wall right - wheel arch|seitenwand rechts|radlauf|./person/person_5/data/img/grp_Beschädigung-1_num_19_id_156155349.jpg|Side wall right|wheel arch|False|False|./person/person_5/data/annotation/grp_Beschädigung-1_num_19_id_156155349.xml
26628|4c84e5f2-e212-43ac-91ed-e4899dbd3b43|grp_Beschädigung-12_num_45_id_139130135.jpg|5F|0C|kratzer|lackieren|tür vorn links - tür|253.26|scratch|paint| door front left - door|tür vorn links|tür|./person/person_5/data/img/grp_Beschädigung-12_num_45_id_139130135.jpg|door front left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-12_num_45_id_139130135.xml
176751|010b437b-f9c3-4315-9d45-bce5c463e14a|grp_Beschädigung-2_num_22_id_150225161.jpg|36|B4|kratzer|oberflächenlack|tür hinten rechts - tür|252.4|scratch|surface paint| door behind right - door|tür hinten rechts|tür|./person/person_5/data/img/grp_Beschädigung-2_num_22_id_150225161.jpg|door behind right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_22_id_150225161.xml
152840|8ee86228-50fb-4b06-b161-77664ede6127|grp_Beschädigung-5_num_56_id_146450452.jpg|36|2T|kratzer|lackieren|tür vorn rechts - tür|305.72|scratch|paint| door front right - door|tür vorn rechts|tür|./person/person_5/data/img/grp_Beschädigung-5_num_56_id_146450452.jpg|door front right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-5_num_56_id_146450452.xml
235618|b53caaf4-9b60-42c8-b4a0-9b87ce5ed03b|grp_Beschädigung-4_num_39_id_130885722.jpg|5G|A1|kratzer|lackieren|tür hinten links - tür|307.8|scratch|paint| door behind left - door|tür hinten links|tür|./person/person_5/data/img/grp_Beschädigung-4_num_39_id_130885722.jpg|door behind left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_39_id_130885722.xml
50866|3b180825-bca8-4c52-b3f9-f826a8916aaa|grp_Beschädigung-9_num_42_id_167262352.jpg|4L|6Y|kratzer|lackieren|seitenwand rechts - radlauf|140.88|scratch|paint| Side wall right - wheel arch|seitenwand rechts|radlauf|./person/person_5/data/img/grp_Beschädigung-9_num_42_id_167262352.jpg|Side wall right|wheel arch|False|False|./person/person_5/data/annotation/grp_Beschädigung-9_num_42_id_167262352.xml
103271|b4da790f-e8d1-45cb-be5a-488f6221a3f1|grp_Beschädigung-15_num_50_id_158314072.jpg|7E|4Q|kratzer|lackieren|schiebetür rechts - schiebetür|281.08|scratch|paint| sliding door right - sliding door|schiebetür rechts|schiebetür|./person/person_5/data/img/grp_Beschädigung-15_num_50_id_158314072.jpg|sliding door right|sliding door|False|False|./person/person_5/data/annotation/grp_Beschädigung-15_num_50_id_158314072.xml
192787|707b9855-ad47-44f7-a66a-71e30cfa65dd|grp_Beschädigung-2_num_21_id_151975623.jpg|3G|P0|kratzer|auslegen / polieren|tür hinten links - tür|30.0|scratch|lay out / polish| door behind left - door|tür hinten links|tür|./person/person_5/data/img/grp_Beschädigung-2_num_21_id_151975623.jpg|door behind left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_21_id_151975623.xml
78355|b0ec4d3c-bf48-47ae-a44e-ffc47e3ec3f8|grp_Beschädigung-6_num_31_id_159761657.jpg|8W|H1|kratzer|lackieren|tür hinten links - tür|438.6|scratch|paint| door behind left - door|tür hinten links|tür|./person/person_5/data/img/grp_Beschädigung-6_num_31_id_159761657.jpg|door behind left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-6_num_31_id_159761657.xml
140660|5bdb6a2e-c48e-43ba-b679-9f25e72cf4ca|grp_Beschädigung-2_num_28_id_164738154.jpg|AJ|A1|kratzer|smart repair|außenspiegel rechts - abdeckkappe|60.0|scratch|smart repair| outside mirror right - cover cap|außenspiegel rechts|abdeckkappe|./person/person_5/data/img/grp_Beschädigung-2_num_28_id_164738154.jpg|outside mirror right|cover cap|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_28_id_164738154.xml
74591|e5173974-de8e-4d1a-8cc6-7212ea375f39|grp_Beschädigung-3_num_18_id_161155015.jpg|8V|0C|kratzer|smart repair|tür vorn links - türkante|80.0|scratch|smart repair| door front left - door edge|tür vorn links|türkante|./person/person_5/data/img/grp_Beschädigung-3_num_18_id_161155015.jpg|door front left|door edge|False|False|./person/person_5/data/annotation/grp_Beschädigung-3_num_18_id_161155015.xml
28623|9e92876c-c9f0-4e0a-88d2-bfb187f9e640|grp_Beschädigung-4_num_36_id_150899959.jpg|5F|0E|kratzer|lackieren|seitenwand links - seitenwand|207.55|scratch|paint| Side wall left - Side wall|seitenwand links|seitenwand|./person/person_5/data/img/grp_Beschädigung-4_num_36_id_150899959.jpg|Side wall left|Side wall|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_36_id_150899959.xml
242890|ab910464-c1e7-4e95-96ba-12fc7909bf77|grp_Beschädigung-3_num_20_id_150467270.jpg|BA|Z2|kratzer|auslegen / polieren|tür hinten links - tür|40.0|scratch|lay out / polish| door behind left - door|tür hinten links|tür|./person/person_5/data/img/grp_Beschädigung-3_num_20_id_150467270.jpg|door behind left|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-3_num_20_id_150467270.xml
37850|603e7e30-7875-46a8-a158-a304c92ec9d8|grp_Beschädigung-6_num_32_id_128470838.jpg|4G|L8|kratzer|lackieren|seitenwand rechts - seitenwand|625.17|scratch|paint| Side wall right - Side wall|seitenwand rechts|seitenwand|./person/person_5/data/img/grp_Beschädigung-6_num_32_id_128470838.jpg|Side wall right|Side wall|False|False|./person/person_5/data/annotation/grp_Beschädigung-6_num_32_id_128470838.xml
54535|1221f58b-6a26-48f7-acc7-76448f1cc88a|grp_Beschädigung-10_num_44_id_159970928.jpg|8K|0E|kratzer|smart repair|tür vorn rechts - tür|120.0|scratch|smart repair| door front right - door|tür vorn rechts|tür|./person/person_5/data/img/grp_Beschädigung-10_num_44_id_159970928.jpg|door front right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-10_num_44_id_159970928.xml
198873|e245ea86-3ea5-404f-b7de-3ad055529af2|grp_Beschädigung-4_num_37_id_160640009.jpg|3G|2T|kratzer|lackieren|tür vorn rechts - tür|464.8|scratch|paint| door front right - door|tür vorn rechts|tür|./person/person_5/data/img/grp_Beschädigung-4_num_37_id_160640009.jpg|door front right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-4_num_37_id_160640009.xml
228285|fa0c118d-88ca-4095-a8cf-6e932d374346|grp_Beschädigung-2_num_30_id_152720798.jpg|12|2T|kratzer|auslegen / polieren|schweller links - einstieg|50.0|scratch|lay out / polish| sill left - Started|schweller links|einstieg|./person/person_5/data/img/grp_Beschädigung-2_num_30_id_152720798.jpg|sill left|Started|False|False|./person/person_5/data/annotation/grp_Beschädigung-2_num_30_id_152720798.xml
24905|1b294ca4-f0f8-4c50-8ee1-7bb5b40e188c|grp_Beschädigung-10_num_29_id_146272286.jpg|3R|2Y|kratzer|smart repair|seitenwand links - seitenwand|100.0|scratch|smart repair| Side wall left - Side wall|seitenwand links|seitenwand|./person/person_5/data/img/grp_Beschädigung-10_num_29_id_146272286.jpg|Side wall left|Side wall|False|False|./person/person_5/data/annotation/grp_Beschädigung-10_num_29_id_146272286.xml
54946|bbfabad4-e9c9-4ccf-8ba3-1c706b393b1e|grp_Beschädigung-3_num_22_id_164700780.jpg|8K|0E|kratzer|auslegen / polieren|tür vorn rechts - tür|40.0|scratch|lay out / polish| door front right - door|tür vorn rechts|tür|./person/person_5/data/img/grp_Beschädigung-3_num_22_id_164700780.jpg|door front right|door|False|False|./person/person_5/data/annotation/grp_Beschädigung-3_num_22_id_164700780.xml
172529|c7812498-8bd6-4451-b989-24d70bfbcbe1|grp_Beschädigung-3_num_33_id_147778669.jpg|35|2T|kratzer|smart repair|außenspiegel rechts - abdeckkappe|60.0|scratch|smart repair| outside mirror right - cover cap|außenspiegel rechts|abdeckkappe|./person/person_5/data/img/grp_Beschädigung-3_num_33_id_147778669.jpg|outside mirror right|cover cap|False|False|./person/person_5/data/annotation/grp_Beschädigung-3_num_33_id_147778669.xml
214089|ca3a365a-6d73-4c31-a6a4-575158e85461|grp_Beschädigung-5_num_37_id_167182753.jpg|7N|2T|kratzer|wertminderung|rad/reifen - leichtmetallfelge hinten links|150.0|scratch|impairment| wheel / tyre - alloy wheels behind left|rad/reifen|leichtmetallfelge hinten links|./person/person_5/data/img/grp_Beschädigung-5_num_37_id_167182753.jpg|wheel / tyre|alloy wheels behind left|False|False|./person/person_5/data/annotation/grp_Beschädigung-5_num_37_id_167182753.xml
