Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2015039337,3,2015039337-Beschaedigung_3:_Tuer_vorn_links:_Tuer__-_Delle_|_Lackschaden_-_Smart_Repair_41.jpg,Tuer vorn links,Tuer,None,Delle / Lackschaden,Smart Repair,120.0,120.0,Tuer - Delle / Lackschaden - Smart Repair,False,False,Smart Repair,Delle / Lackschaden,2015039337,Tuer vorn links,Tuer,None,2015039337-Beschädigung-3-41.jpg,Delle / paint damage,Smart Repair,Tower left,Door,None,./person/w1/image/2015039337-Beschädigung-3-41.jpg,./person/w1/data/annotation/2015039337-Beschädigung-3-41.xml
TUEV Sued,2016018755,10,2016018755-Beschaedigung_10:_Tuer_hinten_links:_Tuer__-_Delle_|_Lackschaden_-_instandsetzen_und_lackieren_58.jpg,Tuer hinten links,Tuer,None,Delle / Lackschaden,instandsetzen und lackieren,553.02,213.2,Tuer - Delle / Lackschaden - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Delle / Lackschaden,2016018755,Tuer hinten links,Tuer,None,2016018755-Beschädigung-10-58.jpg,Delle / paint damage,Repair and paint,Door in the back left,Door,None,./person/w1/image/2016018755-Beschädigung-10-58.jpg,./person/w1/data/annotation/2016018755-Beschädigung-10-58.xml
TUEV Sued,2019266673,9,2019266673-Beschaedigung_9:_Motorhaube:_Motorhaube__-_Delle_|_Lackschaden_-_instandsetzen_und_lackieren_68.jpg,Motorhaube,Motorhaube,None,Delle / Lackschaden,instandsetzen und lackieren,419.63,224.1,Motorhaube - Delle / Lackschaden - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Delle / Lackschaden,2019266673,Motorhaube,Motorhaube,None,2019266673-Beschädigung-9-68.jpg,Delle / paint damage,Repair and paint,Engine Hood,Engine Hood,None,./person/w1/image/2019266673-Beschädigung-9-68.jpg,./person/w1/data/annotation/2019266673-Beschädigung-9-68.xml
TUEV Sued,2014058690,9,2014058690-Beschaedigung_9:_Heckklappe|-tuer:_Heckklappe__-_Delle_|_Lackschaden_-_instandsetzen_und_lackieren_58.jpg,Heckklappe/-tuer,Heckklappe,None,Delle / Lackschaden,instandsetzen und lackieren,601.4,258.85,Heckklappe - Delle / Lackschaden - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Delle / Lackschaden,2014058690,Heckklappe/-tuer,Heckklappe,None,2014058690-Beschädigung-9-58.jpg,Delle / paint damage,Repair and paint,Tailgate / tuer,Tailgate,None,./person/w1/image/2014058690-Beschädigung-9-58.jpg,./person/w1/data/annotation/2014058690-Beschädigung-9-58.xml
TUEV Sued,2019000629,1,2019000629-Beschaedigung_1:_Tuer_vorn_rechts:_Tuer__-_Delle_|_Lackschaden_-_Smart_Repair_21.jpg,Tuer vorn rechts,Tuer,None,Delle / Lackschaden,Smart Repair,120.0,120.0,Tuer - Delle / Lackschaden - Smart Repair,False,False,Smart Repair,Delle / Lackschaden,2019000629,Tuer vorn rechts,Tuer,None,2019000629-Beschädigung-1-21.jpg,Delle / paint damage,Smart Repair,Tower right,Door,None,./person/w1/image/2019000629-Beschädigung-1-21.jpg,./person/w1/data/annotation/2019000629-Beschädigung-1-21.xml
TUEV Sued,2018180410,3,2018180410-Beschaedigung_3:_Seitenwand_rechts:_Einstieg__-_Delle_|_Lackschaden_-_Smart_Repair_44.jpg,Seitenwand rechts,Einstieg,None,Delle / Lackschaden,Smart Repair,120.0,120.0,Einstieg - Delle / Lackschaden - Smart Repair,False,False,Smart Repair,Delle / Lackschaden,2018180410,Seitenwand rechts,Einstieg,None,2018180410-Beschädigung-3-44.jpg,Delle / paint damage,Smart Repair,sidewall right,Started,None,./person/w1/image/2018180410-Beschädigung-3-44.jpg,./person/w1/data/annotation/2018180410-Beschädigung-3-44.xml
TUEV Sued,2020136470,11,2020136470-Beschaedigung_11:_Seitenwand_rechts:_Seitenwand__-_Delle_|_Lackschaden_-_instandsetzen_und_lackieren_57.jpg,Seitenwand rechts,Seitenwand,None,Delle / Lackschaden,instandsetzen und lackieren,207.55,108.95,Seitenwand - Delle / Lackschaden - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Delle / Lackschaden,2020136470,Seitenwand rechts,Seitenwand,None,2020136470-Beschädigung-11-57.jpg,Delle / paint damage,Repair and paint,sidewall right,Side wall,None,./person/w1/image/2020136470-Beschädigung-11-57.jpg,./person/w1/data/annotation/2020136470-Beschädigung-11-57.xml
TUEV Sued,2015124198,5,2015124198-Beschaedigung_5:_Seitenwand_rechts:_Einstieg__-_Delle_|_Lackschaden_-_Smart_Repair_49.jpg,Seitenwand rechts,Einstieg,None,Delle / Lackschaden,Smart Repair,150.0,150.0,Einstieg - Delle / Lackschaden - Smart Repair,False,False,Smart Repair,Delle / Lackschaden,2015124198,Seitenwand rechts,Einstieg,None,2015124198-Beschädigung-5-49.jpg,Delle / paint damage,Smart Repair,sidewall right,Started,None,./person/w1/image/2015124198-Beschädigung-5-49.jpg,./person/w1/data/annotation/2015124198-Beschädigung-5-49.xml
TUEV Sued,2020099957,3,2020099957-Beschaedigung_3:_Stossfaenger_vorn:_Stossfaenger_vorn__-_Delle_|_Lackschaden_-_instandsetzen_und_lackieren_36.jpg,Stossfaenger vorn,Stossfaenger vorn,None,Delle / Lackschaden,instandsetzen und lackieren,254.05,130.0,Stossfaenger vorn - Delle / Lackschaden - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Delle / Lackschaden,2020099957,Stossfaenger vorn,Stossfaenger vorn,None,2020099957-Beschädigung-3-36.jpg,Delle / paint damage,Repair and paint,Shearful front,Shearful front,None,./person/w1/image/2020099957-Beschädigung-3-36.jpg,./person/w1/data/annotation/2020099957-Beschädigung-3-36.xml
TUEV Sued,2018193512,3,2018193512-Beschaedigung_3:_Motorhaube:_Motorhaube__-_Delle_|_Lackschaden_-_instandsetzen_und_lackieren_34.jpg,Motorhaube,Motorhaube,None,Delle / Lackschaden,instandsetzen und lackieren,510.0,430.0,Motorhaube - Delle / Lackschaden - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Delle / Lackschaden,2018193512,Motorhaube,Motorhaube,None,2018193512-Beschädigung-3-34.jpg,Delle / paint damage,Repair and paint,Engine Hood,Engine Hood,None,./person/w1/image/2018193512-Beschädigung-3-34.jpg,./person/w1/data/annotation/2018193512-Beschädigung-3-34.xml
