Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2015105045,4,2015105045-Beschaedigung_4:_Motorhaube:_Motorhaube__-_Steinschlag_-_lackieren_38.jpg,Motorhaube,Motorhaube,None,Steinschlag,lackieren,448.87,164.84,Motorhaube - Steinschlag - lackieren,False,False,lackieren,Steinschlag,2015105045,Motorhaube,Motorhaube,None,2015105045-Beschädigung-4-38.jpg,Rockfall,paint,Engine Hood,Engine Hood,None,./person/w1/image/2015105045-Beschädigung-4-38.jpg,./person/w1/data/annotation/2015105045-Beschädigung-4-38.xml
TUEV Sued,2020078538,8,2020078538-Beschaedigung_8:_Stossfaenger_vorn:_Stossfaenger_vorn__-_Steinschlag_-_instandsetzen_und_lackieren_44.jpg,Stossfaenger vorn,Stossfaenger vorn,None,Steinschlag,instandsetzen und lackieren,459.45,174.22,Stossfaenger vorn - Steinschlag - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Steinschlag,2020078538,Stossfaenger vorn,Stossfaenger vorn,None,2020078538-Beschädigung-8-44.jpg,Rockfall,Repair and paint,Shearful front,Shearful front,None,./person/w1/image/2020078538-Beschädigung-8-44.jpg,./person/w1/data/annotation/2020078538-Beschädigung-8-44.xml
TUEV Sued,2018058606,5,2018058606-Beschaedigung_5:_Motorhaube:_Motorhaube__-_Steinschlag_-_lackieren_33.jpg,Motorhaube,Motorhaube,None,Steinschlag,lackieren,293.73,200.85,Motorhaube - Steinschlag - lackieren,False,False,lackieren,Steinschlag,2018058606,Motorhaube,Motorhaube,None,2018058606-Beschädigung-5-33.jpg,Rockfall,paint,Engine Hood,Engine Hood,None,./person/w1/image/2018058606-Beschädigung-5-33.jpg,./person/w1/data/annotation/2018058606-Beschädigung-5-33.xml
TUEV Sued,2019239669,7,2019239669-Beschaedigung_7:_Motorhaube:_Motorhaube__-_Steinschlag_-_lackieren_35.jpg,Motorhaube,Motorhaube,None,Steinschlag,lackieren,277.08,270.61,Motorhaube - Steinschlag - lackieren,False,False,lackieren,Steinschlag,2019239669,Motorhaube,Motorhaube,None,2019239669-Beschädigung-7-35.jpg,Rockfall,paint,Engine Hood,Engine Hood,None,./person/w1/image/2019239669-Beschädigung-7-35.jpg,./person/w1/data/annotation/2019239669-Beschädigung-7-35.xml
TUEV Sued,2019141659,1,2019141659-Beschaedigung_1:_Motorhaube:_Motorhaube__-_Steinschlag_-_auslegen_|_polieren_24.jpg,Motorhaube,Motorhaube,None,Steinschlag,auslegen / polieren,50.0,50.0,Motorhaube - Steinschlag - auslegen / polieren,False,False,auslegen / polieren,Steinschlag,2019141659,Motorhaube,Motorhaube,None,2019141659-Beschädigung-1-24.jpg,Rockfall,Lay out / polish,Engine Hood,Engine Hood,None,./person/w1/image/2019141659-Beschädigung-1-24.jpg,./person/w1/data/annotation/2019141659-Beschädigung-1-24.xml
TUEV Sued,2018188417,2,2018188417-Beschaedigung_2:_Verglasung:_Frontscheibe__-_Steinschlag_-_erneuern_21.jpg,Verglasung,Frontscheibe,None,Steinschlag,erneuern,702.48,600.0,Frontscheibe - Steinschlag - erneuern,False,False,erneuern,Steinschlag,2018188417,Verglasung,Frontscheibe,None,2018188417-Beschädigung-2-21.jpg,Rockfall,renew,glazing,Windscreen,None,./person/w1/image/2018188417-Beschädigung-2-21.jpg,./person/w1/data/annotation/2018188417-Beschädigung-2-21.xml
TUEV Sued,2019096435,1,2019096435-Beschaedigung_1:_Motorhaube:_Motorhaube__-_Steinschlag_-_Smart_Repair_29.jpg,Motorhaube,Motorhaube,None,Steinschlag,Smart Repair,30.0,30.0,Motorhaube - Steinschlag - Smart Repair,False,False,Smart Repair,Steinschlag,2019096435,Motorhaube,Motorhaube,None,2019096435-Beschädigung-1-29.jpg,Rockfall,Smart Repair,Engine Hood,Engine Hood,None,./person/w1/image/2019096435-Beschädigung-1-29.jpg,./person/w1/data/annotation/2019096435-Beschädigung-1-29.xml
TUEV Sued,2015076186,5,2015076186-Beschaedigung_5:_Motorhaube:_Motorhaube____(Korrosionsantrag)____-_Steinschlag_-_lackieren_34.jpg,Motorhaube,Motorhaube,Korrosionsantrag,Steinschlag,lackieren,374.5,160.0,Motorhaube (Korrosionsantrag) - Steinschlag - lackieren,False,False,lackieren,Steinschlag,2015076186,Motorhaube,Motorhaube,Korrosionsantrag,2015076186-Beschädigung-5-34.jpg,Rockfall,paint,Engine Hood,Engine Hood,Corrosion,./person/w1/image/2015076186-Beschädigung-5-34.jpg,./person/w1/data/annotation/2015076186-Beschädigung-5-34.xml
TUEV Sued,2020073270,3,2020073270-Beschaedigung_3:_Außenspiegel_rechts:_Abdeckkappe__-_Steinschlag_-_Smart_Repair_34.jpg,Außenspiegel rechts,Abdeckkappe,None,Steinschlag,Smart Repair,60.0,60.0,Abdeckkappe - Steinschlag - Smart Repair,False,False,Smart Repair,Steinschlag,2020073270,Außenspiegel rechts,Abdeckkappe,None,2020073270-Beschädigung-3-34.jpg,Rockfall,Smart Repair,Exterior mirror right,Cap,None,./person/w1/image/2020073270-Beschädigung-3-34.jpg,./person/w1/data/annotation/2020073270-Beschädigung-3-34.xml
TUEV Sued,2020076469,8,2020076469-Beschaedigung_8:_Motorhaube:_Motorhaube__-_Steinschlag_-_lackieren_46.jpg,Motorhaube,Motorhaube,None,Steinschlag,lackieren,534.98,201.32,Motorhaube - Steinschlag - lackieren,False,False,lackieren,Steinschlag,2020076469,Motorhaube,Motorhaube,None,2020076469-Beschädigung-8-46.jpg,Rockfall,paint,Engine Hood,Engine Hood,None,./person/w1/image/2020076469-Beschädigung-8-46.jpg,./person/w1/data/annotation/2020076469-Beschädigung-8-46.xml
