Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2019297293,7,2019297293-Beschaedigung_7:_Rad|Reifen:_Reifen_vorn_rechts__-_verschlissen_-_erneuern_48.jpg,Rad/Reifen,Reifen vorn rechts,None,verschlissen,erneuern,150.0,60.0,Reifen vorn rechts - verschlissen - erneuern,False,False,erneuern,verschlissen,2019297293,Rad/Reifen,Reifen vorn rechts,None,2019297293-Beschädigung-7-48.jpg,worn,renew,Wheel / tire,Tire front right,None,./person/w1/image/2019297293-Beschädigung-7-48.jpg,./person/w1/data/annotation/2019297293-Beschädigung-7-48.xml
TUEV Sued,2015053229,5,"2015053229-Beschaedigung_5:_Bremsanlage:_Bremsscheiben_und_Belaege_vorn____(Tragbild,Korrosion,stark_eingelaufen,Riefenbildung.)____-_verschlissen_-_erneuern_53.jpg",Bremsanlage,Bremsscheiben und Belaege vorn,"Tragbild,Korrosion,stark eingelaufen,Riefenbildung.",verschlissen,erneuern,409.7,409.7,"Bremsscheiben und Belaege vorn (Tragbild,Korrosion,stark eingelaufen,Riefenbildung.) - verschlissen - erneuern",False,False,erneuern,verschlissen,2015053229,Bremsanlage,Bremsscheiben und Belaege vorn,"Tragbild,Korrosion,stark eingelaufen,Riefenbildung.",2015053229-Beschädigung-5-53.jpg,worn,renew,Brake system,Brake discs and bubbles front,"Load picture, corrosion, greatly run, called up.",./person/w1/image/2015053229-Beschädigung-5-53.jpg,./person/w1/data/annotation/2015053229-Beschädigung-5-53.xml
TUEV Sued,2020160888,6,"2020160888-Beschaedigung_6:_Bremsanlage:_Bremsscheiben_und_Belaege_hinten____(Tragbild,Korrosion,eingelaufen.)____-_verschlissen_-_erneuern_58.jpg",Bremsanlage,Bremsscheiben und Belaege hinten,"Tragbild,Korrosion,eingelaufen.",verschlissen,erneuern,388.62,388.62,"Bremsscheiben und Belaege hinten (Tragbild,Korrosion,eingelaufen.) - verschlissen - erneuern",False,False,erneuern,verschlissen,2020160888,Bremsanlage,Bremsscheiben und Belaege hinten,"Tragbild,Korrosion,eingelaufen.",2020160888-Beschädigung-6-58.jpg,worn,renew,Brake system,Brake Discs and Belae Rear,"Load picture, corrosion, run.",./person/w1/image/2020160888-Beschädigung-6-58.jpg,./person/w1/data/annotation/2020160888-Beschädigung-6-58.xml
TUEV Sued,2018162635,10,2018162635-Beschaedigung_10:_2.Radsatz:_Reifensatz_komplett__-_verschlissen_-_erneuern_60.jpg,2.Radsatz,Reifensatz komplett,None,verschlissen,erneuern,520.0,360.0,Reifensatz komplett - verschlissen - erneuern,False,False,erneuern,verschlissen,2018162635,2.Radsatz,Reifensatz komplett,None,2018162635-Beschädigung-10-60.jpg,worn,renew,2nd wheelset,Tire set complete,None,./person/w1/image/2018162635-Beschädigung-10-60.jpg,./person/w1/data/annotation/2018162635-Beschädigung-10-60.xml
TUEV Sued,2020016639,2,2020016639-Beschaedigung_2:_Rad|Reifen:_Reifen_hinten____(Innen_abgefahren)____-_verschlissen_-_erneuern_35.jpg,Rad/Reifen,Reifen hinten,Innen abgefahren,verschlissen,erneuern,260.0,110.0,Reifen hinten (Innen abgefahren) - verschlissen - erneuern,False,False,erneuern,verschlissen,2020016639,Rad/Reifen,Reifen hinten,Innen abgefahren,2020016639-Beschädigung-2-35.jpg,worn,renew,Wheel / tire,Tire rear,Inside,./person/w1/image/2020016639-Beschädigung-2-35.jpg,./person/w1/data/annotation/2020016639-Beschädigung-2-35.xml
TUEV Sued,2020052194,5,2020052194-Beschaedigung_5:_Rad|Reifen:_Reifensatz_komplett__-_verschlissen_-_erneuern_32.jpg,Rad/Reifen,Reifensatz komplett,None,verschlissen,erneuern,600.0,260.0,Reifensatz komplett - verschlissen - erneuern,False,False,erneuern,verschlissen,2020052194,Rad/Reifen,Reifensatz komplett,None,2020052194-Beschädigung-5-32.jpg,worn,renew,Wheel / tire,Tire set complete,None,./person/w1/image/2020052194-Beschädigung-5-32.jpg,./person/w1/data/annotation/2020052194-Beschädigung-5-32.xml
TUEV Sued,2020005971,12,2020005971-Beschaedigung_12:_Bremsanlage:_Bremsbelaege_vorn__-_verschlissen_-_erneuern_60.jpg,Bremsanlage,Bremsbelaege vorn,None,verschlissen,erneuern,279.14,279.14,Bremsbelaege vorn - verschlissen - erneuern,False,False,erneuern,verschlissen,2020005971,Bremsanlage,Bremsbelaege vorn,None,2020005971-Beschädigung-12-60.jpg,worn,renew,Brake system,Brake pads in front,None,./person/w1/image/2020005971-Beschädigung-12-60.jpg,./person/w1/data/annotation/2020005971-Beschädigung-12-60.xml
TUEV Sued,2018163219,4,2018163219-Beschaedigung_4:_Bremsanlage:_Bremsscheiben_und_Belaege_vorn__-_verschlissen_-_erneuern_34.jpg,Bremsanlage,Bremsscheiben und Belaege vorn,None,verschlissen,erneuern,625.0,625.0,Bremsscheiben und Belaege vorn - verschlissen - erneuern,False,False,erneuern,verschlissen,2018163219,Bremsanlage,Bremsscheiben und Belaege vorn,None,2018163219-Beschädigung-4-34.jpg,worn,renew,Brake system,Brake discs and bubbles front,None,./person/w1/image/2018163219-Beschädigung-4-34.jpg,./person/w1/data/annotation/2018163219-Beschädigung-4-34.xml
TUEV Sued,2019282906,3,2019282906-Beschaedigung_3:_Rad|Reifen:_Reifen_hinten__-_verschlissen_-_erneuern_43.jpg,Rad/Reifen,Reifen hinten,None,verschlissen,erneuern,250.0,110.0,Reifen hinten - verschlissen - erneuern,False,False,erneuern,verschlissen,2019282906,Rad/Reifen,Reifen hinten,None,2019282906-Beschädigung-3-43.jpg,worn,renew,Wheel / tire,Tire rear,None,./person/w1/image/2019282906-Beschädigung-3-43.jpg,./person/w1/data/annotation/2019282906-Beschädigung-3-43.xml
TUEV Sued,2016008465,1,2016008465-Beschaedigung_1:_Bremsanlage:_Bremsscheiben_und_Belaege_vorn__-_verschlissen_-_erneuern_34.jpg,Bremsanlage,Bremsscheiben und Belaege vorn,None,verschlissen,erneuern,422.62,422.62,Bremsscheiben und Belaege vorn - verschlissen - erneuern,False,False,erneuern,verschlissen,2016008465,Bremsanlage,Bremsscheiben und Belaege vorn,None,2016008465-Beschädigung-1-34.jpg,worn,renew,Brake system,Brake discs and bubbles front,None,./person/w1/image/2016008465-Beschädigung-1-34.jpg,./person/w1/data/annotation/2016008465-Beschädigung-1-34.xml
