Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2019263643,3,2019263643-Beschaedigung_3:_Sitz_vorn:_Lehnenbezug_links__-_Abrieb_-_Wertminderung_42.jpg,Sitz vorn,Lehnenbezug links,None,Abrieb,Wertminderung,120.0,120.0,Lehnenbezug links - Abrieb - Wertminderung,False,False,Wertminderung,Abrieb,2019263643,Sitz vorn,Lehnenbezug links,None,2019263643-Beschädigung-3-42.jpg,Abrasion,Impairment,Seat,Lehnkeeping link left,None,./person/w2/image/2019263643-Beschädigung-3-42.jpg,./person/w2/data/annotation/2019263643-Beschädigung-3-42.xml
TUEV Sued,2018199630,2,"2018199630-Beschaedigung_2:_Verkleidungen|Abdeckungen:_Heckdeckel,_Innenverkleidung__-_Abrieb_-_erneuern_39.jpg",Verkleidungen/Abdeckungen,"Heckdeckel, Innenverkleidung",None,Abrieb,erneuern,138.2,138.2,"Heckdeckel, Innenverkleidung - Abrieb - erneuern",False,False,erneuern,Abrieb,2018199630,Verkleidungen/Abdeckungen,"Heckdeckel, Innenverkleidung",None,2018199630-Beschädigung-2-39.jpg,Abrasion,renew,Clothes / covers,"Rear cover, interior cladding",None,./person/w2/image/2018199630-Beschädigung-2-39.jpg,./person/w2/data/annotation/2018199630-Beschädigung-2-39.xml
TUEV Sued,2020160591,1,2020160591-Beschaedigung_1:_2.Radsatz:_3_Leichtmetallfelgen____(Winterradsatz)____-_Abrieb_-_kein_Abzug_41.jpg,2.Radsatz,3 Leichtmetallfelgen,Winterradsatz,Abrieb,kein Abzug,0.0,0.0,3 Leichtmetallfelgen (Winterradsatz) - Abrieb - kein Abzug,False,False,kein Abzug,Abrieb,2020160591,2.Radsatz,3 Leichtmetallfelgen,Winterradsatz,2020160591-Beschädigung-1-41.jpg,Abrasion,no deduction,2nd wheelset,3 alloy wheels,Winter wheelset,./person/w2/image/2020160591-Beschädigung-1-41.jpg,./person/w2/data/annotation/2020160591-Beschädigung-1-41.xml
TUEV Sued,2020107388,1,2020107388-Beschaedigung_1:_Seitenwand_rechts:_Seitenwand__-_Abrieb_-_auslegen_|_polieren_38.jpg,Seitenwand rechts,Seitenwand,None,Abrieb,auslegen / polieren,30.0,30.0,Seitenwand - Abrieb - auslegen / polieren,False,False,auslegen / polieren,Abrieb,2020107388,Seitenwand rechts,Seitenwand,None,2020107388-Beschädigung-1-38.jpg,Abrasion,Lay out / polish,sidewall right,Side wall,None,./person/w2/image/2020107388-Beschädigung-1-38.jpg,./person/w2/data/annotation/2020107388-Beschädigung-1-38.xml
TUEV Sued,2018032883,1,2018032883-Beschaedigung_1:_Verkleidungen|Abdeckungen:_Fußmatten____(Fahrerseite)____-_Abrieb_-_erneuern_36.jpg,Verkleidungen/Abdeckungen,Fußmatten,Fahrerseite,Abrieb,erneuern,24.0,14.0,Fußmatten (Fahrerseite) - Abrieb - erneuern,False,False,erneuern,Abrieb,2018032883,Verkleidungen/Abdeckungen,Fußmatten,Fahrerseite,2018032883-Beschädigung-1-36.jpg,Abrasion,renew,Clothes / covers,Foot mats,driver's side,./person/w2/image/2018032883-Beschädigung-1-36.jpg,./person/w2/data/annotation/2018032883-Beschädigung-1-36.xml
TUEV Sued,2019003413,1,2019003413-Beschaedigung_1:_Verkleidungen|Abdeckungen:_Fußmatten__-_Abrieb_-_erneuern_38.jpg,Verkleidungen/Abdeckungen,Fußmatten,None,Abrieb,erneuern,20.0,14.0,Fußmatten - Abrieb - erneuern,False,False,erneuern,Abrieb,2019003413,Verkleidungen/Abdeckungen,Fußmatten,None,2019003413-Beschädigung-1-38.jpg,Abrasion,renew,Clothes / covers,Foot mats,None,./person/w2/image/2019003413-Beschädigung-1-38.jpg,./person/w2/data/annotation/2019003413-Beschädigung-1-38.xml
TUEV Sued,2015103811,1,2015103811-Beschaedigung_1:_Sitz_vorn:_Lehnenbezug_links__-_Abrieb_-_Smart_Repair_38.jpg,Sitz vorn,Lehnenbezug links,None,Abrieb,Smart Repair,90.0,90.0,Lehnenbezug links - Abrieb - Smart Repair,False,False,Smart Repair,Abrieb,2015103811,Sitz vorn,Lehnenbezug links,None,2015103811-Beschädigung-1-38.jpg,Abrasion,Smart Repair,Seat,Lehnkeeping link left,None,./person/w2/image/2015103811-Beschädigung-1-38.jpg,./person/w2/data/annotation/2015103811-Beschädigung-1-38.xml
TUEV Sued,2018163218,14,2018163218-Beschaedigung_14:_Sitz_vorn:_Sitzbezug_links__-_Abrieb_-_erneuern_41.jpg,Sitz vorn,Sitzbezug links,None,Abrieb,erneuern,310.0,310.0,Sitzbezug links - Abrieb - erneuern,False,False,erneuern,Abrieb,2018163218,Sitz vorn,Sitzbezug links,None,2018163218-Beschädigung-14-41.jpg,Abrasion,renew,Seat,Seat cover left,None,./person/w2/image/2018163218-Beschädigung-14-41.jpg,./person/w2/data/annotation/2018163218-Beschädigung-14-41.xml
TUEV Sued,2019244039,5,2019244039-Beschaedigung_5:_Verkleidungen|Abdeckungen:_Dachhimmel____(Verschuerft)____-_Abrieb_-_Smart_Repair_43.jpg,Verkleidungen/Abdeckungen,Dachhimmel,Verschuerft,Abrieb,Smart Repair,110.0,110.0,Dachhimmel (Verschuerft) - Abrieb - Smart Repair,False,False,Smart Repair,Abrieb,2019244039,Verkleidungen/Abdeckungen,Dachhimmel,Verschuerft,2019244039-Beschädigung-5-43.jpg,Abrasion,Smart Repair,Clothes / covers,Sky,Shrewd,./person/w2/image/2019244039-Beschädigung-5-43.jpg,./person/w2/data/annotation/2019244039-Beschädigung-5-43.xml
TUEV Sued,2015046076,6,2015046076-Beschaedigung_6:_Rad|Reifen:_Leichtmetallfelge_vorn_rechts__-_Abrieb_-_Smart_Repair_43.jpg,Rad/Reifen,Leichtmetallfelge vorn rechts,None,Abrieb,Smart Repair,120.0,120.0,Leichtmetallfelge vorn rechts - Abrieb - Smart Repair,False,False,Smart Repair,Abrieb,2015046076,Rad/Reifen,Leichtmetallfelge vorn rechts,None,2015046076-Beschädigung-6-43.jpg,Abrasion,Smart Repair,Wheel / tire,Alloy wheel front right,None,./person/w2/image/2015046076-Beschädigung-6-43.jpg,./person/w2/data/annotation/2015046076-Beschädigung-6-43.xml
TUEV Sued,2018050761,11,2018050761-Beschaedigung_11:_Rad|Reifen:_Leichtmetallfelge_vorn_links__-_Abrieb_-_Smart_Repair_62.jpg,Rad/Reifen,Leichtmetallfelge vorn links,None,Abrieb,Smart Repair,120.0,120.0,Leichtmetallfelge vorn links - Abrieb - Smart Repair,False,False,Smart Repair,Abrieb,2018050761,Rad/Reifen,Leichtmetallfelge vorn links,None,2018050761-Beschädigung-11-62.jpg,Abrasion,Smart Repair,Wheel / tire,Light metal rim on the front left,None,./person/w2/image/2018050761-Beschädigung-11-62.jpg,./person/w2/data/annotation/2018050761-Beschädigung-11-62.xml
