Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2016088527,2,2016088527-Beschaedigung_2:_Fahrzeugdach:_Dachholm_links__-_Dellen_-_sanft_instandsetzen_30.jpg,Fahrzeugdach,Dachholm links,None,Dellen,sanft instandsetzen,80.0,80.0,Dachholm links - Dellen - sanft instandsetzen,False,False,sanft instandsetzen,Dellen,2016088527,Fahrzeugdach,Dachholm links,None,2016088527-Beschädigung-2-30.jpg,Dents,regain,Vehicle roof,Dachholm left,None,./person/w2/image/2016088527-Beschädigung-2-30.jpg,./person/w2/data/annotation/2016088527-Beschädigung-2-30.xml
TUEV Sued,2016043205,5,2016043205-Beschaedigung_5:_Fahrzeugdach:_Dachholm_links____(Etliche_dellen_links_und_rechts)____-_Dellen_-_sanft_instandsetzen_36.jpg,Fahrzeugdach,Dachholm links,Etliche dellen links und rechts,Dellen,sanft instandsetzen,300.0,300.0,Dachholm links (Etliche dellen links und rechts) - Dellen - sanft instandsetzen,False,False,sanft instandsetzen,Dellen,2016043205,Fahrzeugdach,Dachholm links,Etliche dellen links und rechts,2016043205-Beschädigung-5-36.jpg,Dents,regain,Vehicle roof,Dachholm left,Several dents left and right,./person/w2/image/2016043205-Beschädigung-5-36.jpg,./person/w2/data/annotation/2016043205-Beschädigung-5-36.xml
TUEV Sued,2016049075,7,2016049075-Beschaedigung_7:_Seitenwand_links:_Einstieg____(+Schweller)____-_Dellen_-_Smart_Repair_49.jpg,Seitenwand links,Einstieg,+Schweller,Dellen,Smart Repair,150.0,150.0,Einstieg (+Schweller) - Dellen - Smart Repair,False,False,Smart Repair,Dellen,2016049075,Seitenwand links,Einstieg,+Schweller,2016049075-Beschädigung-7-49.jpg,Dents,Smart Repair,Sidewall left,Started,+Schweller,./person/w2/image/2016049075-Beschädigung-7-49.jpg,./person/w2/data/annotation/2016049075-Beschädigung-7-49.xml
TUEV Sued,2019310278,8,2019310278-Beschaedigung_8:_Motorhaube:_Motorhaube__-_Dellen_-_Smart_Repair_61.jpg,Motorhaube,Motorhaube,None,Dellen,Smart Repair,120.0,120.0,Motorhaube - Dellen - Smart Repair,False,False,Smart Repair,Dellen,2019310278,Motorhaube,Motorhaube,None,2019310278-Beschädigung-8-61.jpg,Dents,Smart Repair,Engine Hood,Engine Hood,None,./person/w2/image/2019310278-Beschädigung-8-61.jpg,./person/w2/data/annotation/2019310278-Beschädigung-8-61.xml
TUEV Sued,2020134834,3,2020134834-Beschaedigung_3:_Tuer_hinten_rechts:_Tuer____(1x)____-_Dellen_-_sanft_instandsetzen_39.jpg,Tuer hinten rechts,Tuer,1x,Dellen,sanft instandsetzen,80.0,80.0,Tuer (1x) - Dellen - sanft instandsetzen,False,False,sanft instandsetzen,Dellen,2020134834,Tuer hinten rechts,Tuer,1x,2020134834-Beschädigung-3-39.jpg,Dents,regain,Rear right,Door,1x,./person/w2/image/2020134834-Beschädigung-3-39.jpg,./person/w2/data/annotation/2020134834-Beschädigung-3-39.xml
TUEV Sued,2015022836,9,2015022836-Beschaedigung_9:_Tuer_vorn_rechts:_Tuer__-_Dellen_-_instandsetzen_und_lackieren_45.jpg,Tuer vorn rechts,Tuer,None,Dellen,instandsetzen und lackieren,426.05,225.56,Tuer - Dellen - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Dellen,2015022836,Tuer vorn rechts,Tuer,None,2015022836-Beschädigung-9-45.jpg,Dents,Repair and paint,Tower right,Door,None,./person/w2/image/2015022836-Beschädigung-9-45.jpg,./person/w2/data/annotation/2015022836-Beschädigung-9-45.xml
TUEV Sued,2018164255,4,2018164255-Beschaedigung_4:_Seitenwand_rechts:_Seitenwand__-_Dellen_-_Smart_Repair_39.jpg,Seitenwand rechts,Seitenwand,None,Dellen,Smart Repair,100.0,100.0,Seitenwand - Dellen - Smart Repair,False,False,Smart Repair,Dellen,2018164255,Seitenwand rechts,Seitenwand,None,2018164255-Beschädigung-4-39.jpg,Dents,Smart Repair,sidewall right,Side wall,None,./person/w2/image/2018164255-Beschädigung-4-39.jpg,./person/w2/data/annotation/2018164255-Beschädigung-4-39.xml
TUEV Sued,2019213613,3,2019213613-Beschaedigung_3:_Fahrzeugdach:_Dach____(Struktur_wellig.)____-_Dellen_-_sanft_instandsetzen_29.jpg,Fahrzeugdach,Dach,Struktur wellig.,Dellen,sanft instandsetzen,100.0,100.0,Dach (Struktur wellig.) - Dellen - sanft instandsetzen,False,False,sanft instandsetzen,Dellen,2019213613,Fahrzeugdach,Dach,Struktur wellig.,2019213613-Beschädigung-3-29.jpg,Dents,regain,Vehicle roof,roof,Structure wavy.,./person/w2/image/2019213613-Beschädigung-3-29.jpg,./person/w2/data/annotation/2019213613-Beschädigung-3-29.xml
TUEV Sued,2015117455,2,2015117455-Beschaedigung_2:_Tuer_hinten_rechts:_Tuer__-_Dellen_-_sanft_instandsetzen_41.jpg,Tuer hinten rechts,Tuer,None,Dellen,sanft instandsetzen,80.0,80.0,Tuer - Dellen - sanft instandsetzen,False,False,sanft instandsetzen,Dellen,2015117455,Tuer hinten rechts,Tuer,None,2015117455-Beschädigung-2-41.jpg,Dents,regain,Rear right,Door,None,./person/w2/image/2015117455-Beschädigung-2-41.jpg,./person/w2/data/annotation/2015117455-Beschädigung-2-41.xml
TUEV Sued,2020216976,6,2020216976-Beschaedigung_6:_Tuer_vorn_links:_Tuer__-_Dellen_-_instandsetzen_und_lackieren_48.jpg,Tuer vorn links,Tuer,None,Dellen,instandsetzen und lackieren,290.68,165.72,Tuer - Dellen - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Dellen,2020216976,Tuer vorn links,Tuer,None,2020216976-Beschädigung-6-48.jpg,Dents,Repair and paint,Tower left,Door,None,./person/w2/image/2020216976-Beschädigung-6-48.jpg,./person/w2/data/annotation/2020216976-Beschädigung-6-48.xml
