Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2015039329,6,2015039329-Beschaedigung_6:_Tuer_vorn_links:_Tuer__-_Korrosion_-_lackieren_42.jpg,Tuer vorn links,Tuer,None,Korrosion,lackieren,327.73,162.36,Tuer - Korrosion - lackieren,False,False,lackieren,Korrosion,2015039329,Tuer vorn links,Tuer,None,2015039329-Beschädigung-6-42.jpg,corrosion,paint,Tower left,Door,None,./person/w2/image/2015039329-Beschädigung-6-42.jpg,./person/w2/data/annotation/2015039329-Beschädigung-6-42.xml
TUEV Sued,2015073188,8,2015073188-Beschaedigung_8:_Bremsanlage:_Bremsscheiben_und_Belaege_hinten__-_Korrosion_-_erneuern_37.jpg,Bremsanlage,Bremsscheiben und Belaege hinten,None,Korrosion,erneuern,290.02,290.02,Bremsscheiben und Belaege hinten - Korrosion - erneuern,False,False,erneuern,Korrosion,2015073188,Bremsanlage,Bremsscheiben und Belaege hinten,None,2015073188-Beschädigung-8-37.jpg,corrosion,renew,Brake system,Brake Discs and Belae Rear,None,./person/w2/image/2015073188-Beschädigung-8-37.jpg,./person/w2/data/annotation/2015073188-Beschädigung-8-37.xml
TUEV Sued,2020089619,4,2020089619-Beschaedigung_4:_Karosserie:_Karosserie____(Flugrost)____-_Korrosion_-_aufbereiten_50.jpg,Karosserie,Karosserie,Flugrost,Korrosion,aufbereiten,300.0,140.0,Karosserie (Flugrost) - Korrosion - aufbereiten,False,False,aufbereiten,Korrosion,2020089619,Karosserie,Karosserie,Flugrost,2020089619-Beschädigung-4-50.jpg,corrosion,processing,body,body,Ridge,./person/w2/image/2020089619-Beschädigung-4-50.jpg,./person/w2/data/annotation/2020089619-Beschädigung-4-50.xml
TUEV Sued,2020030404,1,2020030404-Beschaedigung_1:_Fahrzeugdach:_Dach__-_Korrosion_-_auslegen_|_polieren_24.jpg,Fahrzeugdach,Dach,None,Korrosion,auslegen / polieren,25.0,25.0,Dach - Korrosion - auslegen / polieren,False,False,auslegen / polieren,Korrosion,2020030404,Fahrzeugdach,Dach,None,2020030404-Beschädigung-1-24.jpg,corrosion,Lay out / polish,Vehicle roof,roof,None,./person/w2/image/2020030404-Beschädigung-1-24.jpg,./person/w2/data/annotation/2020030404-Beschädigung-1-24.xml
TUEV Sued,2020103138,19,2020103138-Beschaedigung_19:_Bremsanlage:_Bremsscheiben_und_Belaege_hinten__-_Korrosion_-_erneuern_77.jpg,Bremsanlage,Bremsscheiben und Belaege hinten,None,Korrosion,erneuern,540.0,540.0,Bremsscheiben und Belaege hinten - Korrosion - erneuern,False,False,erneuern,Korrosion,2020103138,Bremsanlage,Bremsscheiben und Belaege hinten,None,2020103138-Beschädigung-19-77.jpg,corrosion,renew,Brake system,Brake Discs and Belae Rear,None,./person/w2/image/2020103138-Beschädigung-19-77.jpg,./person/w2/data/annotation/2020103138-Beschädigung-19-77.xml
TUEV Sued,2016057743,6,2016057743-Beschaedigung_6:_Bremsanlage:_Bremsscheiben_hinten__-_Korrosion_-_erneuern_63.jpg,Bremsanlage,Bremsscheiben hinten,None,Korrosion,erneuern,302.94,302.94,Bremsscheiben hinten - Korrosion - erneuern,False,False,erneuern,Korrosion,2016057743,Bremsanlage,Bremsscheiben hinten,None,2016057743-Beschädigung-6-63.jpg,corrosion,renew,Brake system,Brake discs rear,None,./person/w2/image/2016057743-Beschädigung-6-63.jpg,./person/w2/data/annotation/2016057743-Beschädigung-6-63.xml
TUEV Sued,2017045681,9,2017045681-Beschaedigung_9:_Motorhaube:_Motorhaube__-_Korrosion_-_instandsetzen_und_lackieren_55.jpg,Motorhaube,Motorhaube,None,Korrosion,instandsetzen und lackieren,608.2,350.82,Motorhaube - Korrosion - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Korrosion,2017045681,Motorhaube,Motorhaube,None,2017045681-Beschädigung-9-55.jpg,corrosion,Repair and paint,Engine Hood,Engine Hood,None,./person/w2/image/2017045681-Beschädigung-9-55.jpg,./person/w2/data/annotation/2017045681-Beschädigung-9-55.xml
TUEV Sued,2017015380,2,2017015380-Beschaedigung_2:_Bremsanlage:_Bremsscheiben_und_Belaege_vorn__-_Korrosion_-_erneuern_37.jpg,Bremsanlage,Bremsscheiben und Belaege vorn,None,Korrosion,erneuern,380.0,380.0,Bremsscheiben und Belaege vorn - Korrosion - erneuern,False,False,erneuern,Korrosion,2017015380,Bremsanlage,Bremsscheiben und Belaege vorn,None,2017015380-Beschädigung-2-37.jpg,corrosion,renew,Brake system,Brake discs and bubbles front,None,./person/w2/image/2017015380-Beschädigung-2-37.jpg,./person/w2/data/annotation/2017015380-Beschädigung-2-37.xml
TUEV Sued,2020071947,7,2020071947-Beschaedigung_7:_Heckklappe|-tuer:_Heckklappe__-_Korrosion_-_instandsetzen_und_lackieren_63.jpg,Heckklappe/-tuer,Heckklappe,None,Korrosion,instandsetzen und lackieren,521.92,226.06,Heckklappe - Korrosion - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Korrosion,2020071947,Heckklappe/-tuer,Heckklappe,None,2020071947-Beschädigung-7-63.jpg,corrosion,Repair and paint,Tailgate / tuer,Tailgate,None,./person/w2/image/2020071947-Beschädigung-7-63.jpg,./person/w2/data/annotation/2020071947-Beschädigung-7-63.xml
TUEV Sued,2020023079,2,2020023079-Beschaedigung_2:_Bremsanlage:_Bremsscheiben_und_Belaege_hinten____(Tragbild_unzureichend)____-_Korrosion_-_erneuern_31.jpg,Bremsanlage,Bremsscheiben und Belaege hinten,Tragbild unzureichend,Korrosion,erneuern,539.24,539.24,Bremsscheiben und Belaege hinten (Tragbild unzureichend) - Korrosion - erneuern,False,False,erneuern,Korrosion,2020023079,Bremsanlage,Bremsscheiben und Belaege hinten,Tragbild unzureichend,2020023079-Beschädigung-2-31.jpg,corrosion,renew,Brake system,Brake Discs and Belae Rear,Load picture insufficient,./person/w2/image/2020023079-Beschädigung-2-31.jpg,./person/w2/data/annotation/2020023079-Beschädigung-2-31.xml
