Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2019231863,2,2019231863-Beschaedigung_2:_Motorhaube:_Motorhaube____(Verharzt)____-_Lackmangel_-_Smart_Repair_32.jpg,Motorhaube,Motorhaube,Verharzt,Lackmangel,Smart Repair,50.0,50.0,Motorhaube (Verharzt) - Lackmangel - Smart Repair,False,False,Smart Repair,Lackmangel,2019231863,Motorhaube,Motorhaube,Verharzt,2019231863-Beschädigung-2-32.jpg,Lack of paint,Smart Repair,Engine Hood,Engine Hood,Devotter,./person/w2/image/2019231863-Beschädigung-2-32.jpg,./person/w2/data/annotation/2019231863-Beschädigung-2-32.xml
TUEV Sued,2017092281,1,2017092281-Beschaedigung_1:_Fahrzeugdach:_Dach__-_Lackmangel_-_Smart_Repair_26.jpg,Fahrzeugdach,Dach,None,Lackmangel,Smart Repair,90.0,90.0,Dach - Lackmangel - Smart Repair,False,False,Smart Repair,Lackmangel,2017092281,Fahrzeugdach,Dach,None,2017092281-Beschädigung-1-26.jpg,Lack of paint,Smart Repair,Vehicle roof,roof,None,./person/w2/image/2017092281-Beschädigung-1-26.jpg,./person/w2/data/annotation/2017092281-Beschädigung-1-26.xml
TUEV Sued,2019168713,6,2019168713-Beschaedigung_6:_Stossfaenger_hinten:_Stossfaenger_hinten__-_Lackmangel_-_instandsetzen_und_lackieren_35.jpg,Stossfaenger hinten,Stossfaenger hinten,None,Lackmangel,instandsetzen und lackieren,465.55,465.55,Stossfaenger hinten - Lackmangel - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Lackmangel,2019168713,Stossfaenger hinten,Stossfaenger hinten,None,2019168713-Beschädigung-6-35.jpg,Lack of paint,Repair and paint,Rear bumper,Rear bumper,None,./person/w2/image/2019168713-Beschädigung-6-35.jpg,./person/w2/data/annotation/2019168713-Beschädigung-6-35.xml
TUEV Sued,2016021071,3,2016021071-Beschaedigung_3:_Motorhaube:_Motorhaube____(Fahrzeugfront_Harz)____-_Lackmangel_-_entfernen_35.jpg,Motorhaube,Motorhaube,Fahrzeugfront Harz,Lackmangel,entfernen,50.0,27.0,Motorhaube (Fahrzeugfront Harz) - Lackmangel - entfernen,False,False,entfernen,Lackmangel,2016021071,Motorhaube,Motorhaube,Fahrzeugfront Harz,2016021071-Beschädigung-3-35.jpg,Lack of paint,remove,Engine Hood,Engine Hood,Vehicle front resin,./person/w2/image/2016021071-Beschädigung-3-35.jpg,./person/w2/data/annotation/2016021071-Beschädigung-3-35.xml
TUEV Sued,2019284010,2,2019284010-Beschaedigung_2:_Karosserie:_Karosserie____(Baumharz)____-_Lackmangel_-_reinigen_27.jpg,Karosserie,Karosserie,Baumharz,Lackmangel,reinigen,150.0,150.0,Karosserie (Baumharz) - Lackmangel - reinigen,False,False,reinigen,Lackmangel,2019284010,Karosserie,Karosserie,Baumharz,2019284010-Beschädigung-2-27.jpg,Lack of paint,to clean,body,body,Tree resin,./person/w2/image/2019284010-Beschädigung-2-27.jpg,./person/w2/data/annotation/2019284010-Beschädigung-2-27.xml
TUEV Sued,2020228864,4,2020228864-Beschaedigung_4:_Motorhaube:_Motorhaube____(Veraetzung)____-_Lackmangel_-_lackieren_43.jpg,Motorhaube,Motorhaube,Veraetzung,Lackmangel,lackieren,483.15,335.24,Motorhaube (Veraetzung) - Lackmangel - lackieren,False,False,lackieren,Lackmangel,2020228864,Motorhaube,Motorhaube,Veraetzung,2020228864-Beschädigung-4-43.jpg,Lack of paint,paint,Engine Hood,Engine Hood,Obscure,./person/w2/image/2020228864-Beschädigung-4-43.jpg,./person/w2/data/annotation/2020228864-Beschädigung-4-43.xml
TUEV Sued,2019051262,7,2019051262-Beschaedigung_7:_Seitenwand_links:_Seitenwand____(Inkl._Kratzer)____-_Lackmangel_-_instandsetzen_und_lackieren_57.jpg,Seitenwand links,Seitenwand,Inkl. Kratzer,Lackmangel,instandsetzen und lackieren,568.8,424.81,Seitenwand (Inkl. Kratzer) - Lackmangel - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Lackmangel,2019051262,Seitenwand links,Seitenwand,Inkl. Kratzer,2019051262-Beschädigung-7-57.jpg,Lack of paint,Repair and paint,Sidewall left,Side wall,Incl. Scratches,./person/w2/image/2019051262-Beschädigung-7-57.jpg,./person/w2/data/annotation/2019051262-Beschädigung-7-57.xml
TUEV Sued,2019096361,3,2019096361-Beschaedigung_3:_Motorhaube:_Motorhaube____(Steinschlag)____-_Lackmangel_-_Smart_Repair_30.jpg,Motorhaube,Motorhaube,Steinschlag,Lackmangel,Smart Repair,40.0,40.0,Motorhaube (Steinschlag) - Lackmangel - Smart Repair,False,False,Smart Repair,Lackmangel,2019096361,Motorhaube,Motorhaube,Steinschlag,2019096361-Beschädigung-3-30.jpg,Lack of paint,Smart Repair,Engine Hood,Engine Hood,Rockfall,./person/w2/image/2019096361-Beschädigung-3-30.jpg,./person/w2/data/annotation/2019096361-Beschädigung-3-30.xml
TUEV Sued,2015101994,7,2015101994-Beschaedigung_7:_Heckklappe|-tuer:_Heckklappe__-_Lackmangel_-_instandsetzen_und_lackieren_63.jpg,Heckklappe/-tuer,Heckklappe,None,Lackmangel,instandsetzen und lackieren,346.33,126.0,Heckklappe - Lackmangel - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Lackmangel,2015101994,Heckklappe/-tuer,Heckklappe,None,2015101994-Beschädigung-7-63.jpg,Lack of paint,Repair and paint,Tailgate / tuer,Tailgate,None,./person/w2/image/2015101994-Beschädigung-7-63.jpg,./person/w2/data/annotation/2015101994-Beschädigung-7-63.xml
TUEV Sued,2015105205,4,2015105205-Beschaedigung_4:_Seitenwand_links:_Seitenwand__-_Lackmangel_-_lackieren_58.jpg,Seitenwand links,Seitenwand,None,Lackmangel,lackieren,690.02,262.93,Seitenwand - Lackmangel - lackieren,False,False,lackieren,Lackmangel,2015105205,Seitenwand links,Seitenwand,None,2015105205-Beschädigung-4-58.jpg,Lack of paint,paint,Sidewall left,Side wall,None,./person/w2/image/2015105205-Beschädigung-4-58.jpg,./person/w2/data/annotation/2015105205-Beschädigung-4-58.xml
