Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2016046755,1,2016046755-Beschaedigung_1:_Verkleidungen|Abdeckungen:_Fußmatten__-_gebrochen_|_gerissen_-_erneuern_53.jpg,Verkleidungen/Abdeckungen,Fußmatten,None,gebrochen / gerissen,erneuern,20.0,20.0,Fußmatten - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2016046755,Verkleidungen/Abdeckungen,Fußmatten,None,2016046755-Beschädigung-1-53.jpg,Broken / torn,renew,Clothes / covers,Foot mats,None,./person/w2/image/2016046755-Beschädigung-1-53.jpg,./person/w2/data/annotation/2016046755-Beschädigung-1-53.xml
TUEV Sued,2020062651,20,2020062651-Beschaedigung_20:_Scheinwerfer:_Scheinwerfer_links____(Schaden_vorne_links)____-_gebrochen_|_gerissen_-_erneuern_121.jpg,Scheinwerfer,Scheinwerfer links,Schaden vorne links,gebrochen / gerissen,erneuern,870.0,870.0,Scheinwerfer links (Schaden vorne links) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020062651,Scheinwerfer,Scheinwerfer links,Schaden vorne links,2020062651-Beschädigung-20-121.jpg,Broken / torn,renew,Headlight,left headlight,Damage front left,./person/w2/image/2020062651-Beschädigung-20-121.jpg,./person/w2/data/annotation/2020062651-Beschädigung-20-121.xml
TUEV Sued,2016050694,9,2016050694-Beschaedigung_9:_Außenspiegel_links:_Außenspiegel__-_gebrochen_|_gerissen_-_erneuern_46.jpg,Außenspiegel links,Außenspiegel,None,gebrochen / gerissen,erneuern,292.95,292.95,Außenspiegel - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2016050694,Außenspiegel links,Außenspiegel,None,2016050694-Beschädigung-9-46.jpg,Broken / torn,renew,Exterior mirror left,Exterior mirror,None,./person/w2/image/2016050694-Beschädigung-9-46.jpg,./person/w2/data/annotation/2016050694-Beschädigung-9-46.xml
TUEV Sued,2015099601,14,2015099601-Beschaedigung_14:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_68.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,702.48,702.48,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015099601,Verglasung,Frontscheibe,None,2015099601-Beschädigung-14-68.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2015099601-Beschädigung-14-68.jpg,./person/w2/data/annotation/2015099601-Beschädigung-14-68.xml
TUEV Sued,2019171241,5,2019171241-Beschaedigung_5:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_28.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,702.48,702.48,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2019171241,Verglasung,Frontscheibe,None,2019171241-Beschädigung-5-28.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2019171241-Beschädigung-5-28.jpg,./person/w2/data/annotation/2019171241-Beschädigung-5-28.xml
TUEV Sued,2020021464,7,2020021464-Beschaedigung_7:_Stossfaenger_hinten:_Stossfaenger_hinten____(Schutzleiste_Ladekante)____-_gebrochen_|_gerissen_-_erneuern_36.jpg,Stossfaenger hinten,Stossfaenger hinten,Schutzleiste Ladekante,gebrochen / gerissen,erneuern,230.0,140.0,Stossfaenger hinten (Schutzleiste Ladekante) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020021464,Stossfaenger hinten,Stossfaenger hinten,Schutzleiste Ladekante,2020021464-Beschädigung-7-36.jpg,Broken / torn,renew,Rear bumper,Rear bumper,Protective strip loading edge,./person/w2/image/2020021464-Beschädigung-7-36.jpg,./person/w2/data/annotation/2020021464-Beschädigung-7-36.xml
TUEV Sued,2015101170,4,2015101170-Beschaedigung_4:_Interieur:_Laderaumabdeckung_|_Rollo__-_gebrochen_|_gerissen_-_erneuern_40.jpg,Interieur,Laderaumabdeckung / Rollo,None,gebrochen / gerissen,erneuern,200.0,200.0,Laderaumabdeckung / Rollo - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015101170,Interieur,Laderaumabdeckung / Rollo,None,2015101170-Beschädigung-4-40.jpg,Broken / torn,renew,interior,Carrying room coverage / rollo,None,./person/w2/image/2015101170-Beschädigung-4-40.jpg,./person/w2/data/annotation/2015101170-Beschädigung-4-40.xml
TUEV Sued,2015024248,7,2015024248-Beschaedigung_7:_Verkleidungen|Abdeckungen:_Tuerverkleidung_hinten_links__-_gebrochen_|_gerissen_-_erneuern_56.jpg,Verkleidungen/Abdeckungen,Tuerverkleidung hinten links,None,gebrochen / gerissen,erneuern,120.0,120.0,Tuerverkleidung hinten links - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015024248,Verkleidungen/Abdeckungen,Tuerverkleidung hinten links,None,2015024248-Beschädigung-7-56.jpg,Broken / torn,renew,Clothes / covers,Taper trim rear left,None,./person/w2/image/2015024248-Beschädigung-7-56.jpg,./person/w2/data/annotation/2015024248-Beschädigung-7-56.xml
TUEV Sued,2018217540,3,2018217540-Beschaedigung_3:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_22.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,702.48,702.48,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2018217540,Verglasung,Frontscheibe,None,2018217540-Beschädigung-3-22.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2018217540-Beschädigung-3-22.jpg,./person/w2/data/annotation/2018217540-Beschädigung-3-22.xml
TUEV Sued,2016016207,4,2016016207-Beschaedigung_4:_Sitz_vorn:_Sitzbezug_links__-_gebrochen_|_gerissen_-_Smart_Repair_42.jpg,Sitz vorn,Sitzbezug links,None,gebrochen / gerissen,Smart Repair,100.0,100.0,Sitzbezug links - gebrochen / gerissen - Smart Repair,False,False,Smart Repair,gebrochen / gerissen,2016016207,Sitz vorn,Sitzbezug links,None,2016016207-Beschädigung-4-42.jpg,Broken / torn,Smart Repair,Seat,Seat cover left,None,./person/w2/image/2016016207-Beschädigung-4-42.jpg,./person/w2/data/annotation/2016016207-Beschädigung-4-42.xml
TUEV Sued,2015122502,13,2015122502-Beschaedigung_13:_Stossfaenger_hinten:_Stossfaenger_hinten__-_gebrochen_|_gerissen_-_erneuern_65.jpg,Stossfaenger hinten,Stossfaenger hinten,None,gebrochen / gerissen,erneuern,660.74,312.71,Stossfaenger hinten - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015122502,Stossfaenger hinten,Stossfaenger hinten,None,2015122502-Beschädigung-13-65.jpg,Broken / torn,renew,Rear bumper,Rear bumper,None,./person/w2/image/2015122502-Beschädigung-13-65.jpg,./person/w2/data/annotation/2015122502-Beschädigung-13-65.xml
TUEV Sued,2015022507,1,2015022507-Beschaedigung_1:_Verkleidungen|Abdeckungen:_Fußmatten__-_gebrochen_|_gerissen_-_erneuern_38.jpg,Verkleidungen/Abdeckungen,Fußmatten,None,gebrochen / gerissen,erneuern,25.0,25.0,Fußmatten - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015022507,Verkleidungen/Abdeckungen,Fußmatten,None,2015022507-Beschädigung-1-38.jpg,Broken / torn,renew,Clothes / covers,Foot mats,None,./person/w2/image/2015022507-Beschädigung-1-38.jpg,./person/w2/data/annotation/2015022507-Beschädigung-1-38.xml
TUEV Sued,2020071473,4,2020071473-Beschaedigung_4:_Stossfaenger_hinten:_Schutzleiste_rechts__-_gebrochen_|_gerissen_-_erneuern_42.jpg,Stossfaenger hinten,Schutzleiste rechts,None,gebrochen / gerissen,erneuern,60.0,60.0,Schutzleiste rechts - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020071473,Stossfaenger hinten,Schutzleiste rechts,None,2020071473-Beschädigung-4-42.jpg,Broken / torn,renew,Rear bumper,Protective strip right,None,./person/w2/image/2020071473-Beschädigung-4-42.jpg,./person/w2/data/annotation/2020071473-Beschädigung-4-42.xml
TUEV Sued,2015038970,3,2015038970-Beschaedigung_3:_Schiebetuer_rechts:_Verkleidung__-_gebrochen_|_gerissen_-_erneuern_25.jpg,Schiebetuer rechts,Verkleidung,None,gebrochen / gerissen,erneuern,59.0,31.0,Verkleidung - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015038970,Schiebetuer rechts,Verkleidung,None,2015038970-Beschädigung-3-25.jpg,Broken / torn,renew,Sliding on the right,Cladding,None,./person/w2/image/2015038970-Beschädigung-3-25.jpg,./person/w2/data/annotation/2015038970-Beschädigung-3-25.xml
TUEV Sued,2020064069,21,2020064069-Beschaedigung_21:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_70.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,585.82,585.82,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020064069,Verglasung,Frontscheibe,None,2020064069-Beschädigung-21-70.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2020064069-Beschädigung-21-70.jpg,./person/w2/data/annotation/2020064069-Beschädigung-21-70.xml
TUEV Sued,2015036027,7,2015036027-Beschaedigung_7:_Seitenwand_links:_Innenverkleidung__-_gebrochen_|_gerissen_-_erneuern_33.jpg,Seitenwand links,Innenverkleidung,None,gebrochen / gerissen,erneuern,120.0,120.0,Innenverkleidung - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015036027,Seitenwand links,Innenverkleidung,None,2015036027-Beschädigung-7-33.jpg,Broken / torn,renew,Sidewall left,interior panelling,None,./person/w2/image/2015036027-Beschädigung-7-33.jpg,./person/w2/data/annotation/2015036027-Beschädigung-7-33.xml
TUEV Sued,2016021074,12,2016021074-Beschaedigung_12:_Stossfaenger_hinten:_Stossfaenger_hinten__-_gebrochen_|_gerissen_-_erneuern_55.jpg,Stossfaenger hinten,Stossfaenger hinten,None,gebrochen / gerissen,erneuern,424.12,229.54,Stossfaenger hinten - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2016021074,Stossfaenger hinten,Stossfaenger hinten,None,2016021074-Beschädigung-12-55.jpg,Broken / torn,renew,Rear bumper,Rear bumper,None,./person/w2/image/2016021074-Beschädigung-12-55.jpg,./person/w2/data/annotation/2016021074-Beschädigung-12-55.xml
TUEV Sued,2015054470,11,2015054470-Beschaedigung_11:_Verkleidungen|Abdeckungen:_Laderaumverkleidung_links____(Und_rechts)____-_gebrochen_|_gerissen_-_erneuern_49.jpg,Verkleidungen/Abdeckungen,Laderaumverkleidung links,Und rechts,gebrochen / gerissen,erneuern,360.0,360.0,Laderaumverkleidung links (Und rechts) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015054470,Verkleidungen/Abdeckungen,Laderaumverkleidung links,Und rechts,2015054470-Beschädigung-11-49.jpg,Broken / torn,renew,Clothes / covers,Carrying lines left,And right,./person/w2/image/2015054470-Beschädigung-11-49.jpg,./person/w2/data/annotation/2015054470-Beschädigung-11-49.xml
TUEV Sued,2015056147,22,2015056147-Beschaedigung_22:_Stossfaenger_hinten:_Stossfaenger_hinten__-_gebrochen_|_gerissen_-_erneuern_71.jpg,Stossfaenger hinten,Stossfaenger hinten,None,gebrochen / gerissen,erneuern,570.0,570.0,Stossfaenger hinten - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015056147,Stossfaenger hinten,Stossfaenger hinten,None,2015056147-Beschädigung-22-71.jpg,Broken / torn,renew,Rear bumper,Rear bumper,None,./person/w2/image/2015056147-Beschädigung-22-71.jpg,./person/w2/data/annotation/2015056147-Beschädigung-22-71.xml
TUEV Sued,2015007910,9,2015007910-Beschaedigung_9:_Stossfaenger_vorn:_Stossfaenger_vorn__-_gebrochen_|_gerissen_-_erneuern_48.jpg,Stossfaenger vorn,Stossfaenger vorn,None,gebrochen / gerissen,erneuern,357.0,357.0,Stossfaenger vorn - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015007910,Stossfaenger vorn,Stossfaenger vorn,None,2015007910-Beschädigung-9-48.jpg,Broken / torn,renew,Shearful front,Shearful front,None,./person/w2/image/2015007910-Beschädigung-9-48.jpg,./person/w2/data/annotation/2015007910-Beschädigung-9-48.xml
TUEV Sued,2017048557,8,"2017048557-Beschaedigung_8:_Stossfaenger_hinten:_Stossfaenger_hinten_Mitte____(verformt._Ladekantenschutz,_Chromblech.)____-_gebrochen_|_gerissen_-_erneuern_52.jpg",Stossfaenger hinten,Stossfaenger hinten Mitte,"verformt. Ladekantenschutz, Chromblech.",gebrochen / gerissen,erneuern,228.48,110.0,"Stossfaenger hinten Mitte (verformt. Ladekantenschutz, Chromblech.) - gebrochen / gerissen - erneuern",False,False,erneuern,gebrochen / gerissen,2017048557,Stossfaenger hinten,Stossfaenger hinten Mitte,"verformt. Ladekantenschutz, Chromblech.",2017048557-Beschädigung-8-52.jpg,Broken / torn,renew,Rear bumper,Stoss Fenger rear center,"Dormed. Loading edge protection, chromium sheet.",./person/w2/image/2017048557-Beschädigung-8-52.jpg,./person/w2/data/annotation/2017048557-Beschädigung-8-52.xml
TUEV Sued,2015041036,1,2015041036-Beschaedigung_1:_Heckleuchte:_Heckleuchte_rechts__-_gebrochen_|_gerissen_-_erneuern_43.jpg,Heckleuchte,Heckleuchte rechts,None,gebrochen / gerissen,erneuern,187.68,187.68,Heckleuchte rechts - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015041036,Heckleuchte,Heckleuchte rechts,None,2015041036-Beschädigung-1-43.jpg,Broken / torn,renew,Tail light,Tail light right,None,./person/w2/image/2015041036-Beschädigung-1-43.jpg,./person/w2/data/annotation/2015041036-Beschädigung-1-43.xml
TUEV Sued,2018179516,2,2018179516-Beschaedigung_2:_Tuer_vorn_links:_Tuerdichtung__-_gebrochen_|_gerissen_-_erneuern_26.jpg,Tuer vorn links,Tuerdichtung,None,gebrochen / gerissen,erneuern,75.0,75.0,Tuerdichtung - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2018179516,Tuer vorn links,Tuerdichtung,None,2018179516-Beschädigung-2-26.jpg,Broken / torn,renew,Tower left,Gasket,None,./person/w2/image/2018179516-Beschädigung-2-26.jpg,./person/w2/data/annotation/2018179516-Beschädigung-2-26.xml
TUEV Sued,2020038625,12,2020038625-Beschaedigung_12:_Rad|Reifen:_Reifensatz_komplett____(Sommerbereifung_Bordsteinschaeden)____-_gebrochen_|_gerissen_-_erneuern_56.jpg,Rad/Reifen,Reifensatz komplett,Sommerbereifung Bordsteinschaeden,gebrochen / gerissen,erneuern,940.0,450.0,Reifensatz komplett (Sommerbereifung Bordsteinschaeden) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020038625,Rad/Reifen,Reifensatz komplett,Sommerbereifung Bordsteinschaeden,2020038625-Beschädigung-12-56.jpg,Broken / torn,renew,Wheel / tire,Tire set complete,Summer tires of curb shops,./person/w2/image/2020038625-Beschädigung-12-56.jpg,./person/w2/data/annotation/2020038625-Beschädigung-12-56.xml
TUEV Sued,2020063975,11,2020063975-Beschaedigung_11:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_41.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,612.8,612.8,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020063975,Verglasung,Frontscheibe,None,2020063975-Beschädigung-11-41.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2020063975-Beschädigung-11-41.jpg,./person/w2/data/annotation/2020063975-Beschädigung-11-41.xml
TUEV Sued,2020049371,1,2020049371-Beschaedigung_1:_Außenspiegel_links:_Abdeckkappe__-_gebrochen_|_gerissen_-_erneuern_40.jpg,Außenspiegel links,Abdeckkappe,None,gebrochen / gerissen,erneuern,118.53,60.0,Abdeckkappe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020049371,Außenspiegel links,Abdeckkappe,None,2020049371-Beschädigung-1-40.jpg,Broken / torn,renew,Exterior mirror left,Cap,None,./person/w2/image/2020049371-Beschädigung-1-40.jpg,./person/w2/data/annotation/2020049371-Beschädigung-1-40.xml
TUEV Sued,2017154597,6,2017154597-Beschaedigung_6:_Sitz_vorn:_Sitzbezug_rechts__-_gebrochen_|_gerissen_-_Smart_Repair_36.jpg,Sitz vorn,Sitzbezug rechts,None,gebrochen / gerissen,Smart Repair,120.0,120.0,Sitzbezug rechts - gebrochen / gerissen - Smart Repair,False,False,Smart Repair,gebrochen / gerissen,2017154597,Sitz vorn,Sitzbezug rechts,None,2017154597-Beschädigung-6-36.jpg,Broken / torn,Smart Repair,Seat,Seat cover right,None,./person/w2/image/2017154597-Beschädigung-6-36.jpg,./person/w2/data/annotation/2017154597-Beschädigung-6-36.xml
TUEV Sued,2020150523,2,2020150523-Beschaedigung_2:_Verkleidungen|Abdeckungen:_Tuerverkleidung_vorn_links____(Griffschale)____-_gebrochen_|_gerissen_-_erneuern_31.jpg,Verkleidungen/Abdeckungen,Tuerverkleidung vorn links,Griffschale,gebrochen / gerissen,erneuern,35.0,35.0,Tuerverkleidung vorn links (Griffschale) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020150523,Verkleidungen/Abdeckungen,Tuerverkleidung vorn links,Griffschale,2020150523-Beschädigung-2-31.jpg,Broken / torn,renew,Clothes / covers,Tower trim front left,Grip,./person/w2/image/2020150523-Beschädigung-2-31.jpg,./person/w2/data/annotation/2020150523-Beschädigung-2-31.xml
TUEV Sued,2015104452,3,2015104452-Beschaedigung_3:_Verkleidungen|Abdeckungen:_Kofferraumverkleidung__-_gebrochen_|_gerissen_-_erneuern_42.jpg,Verkleidungen/Abdeckungen,Kofferraumverkleidung,None,gebrochen / gerissen,erneuern,170.0,170.0,Kofferraumverkleidung - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2015104452,Verkleidungen/Abdeckungen,Kofferraumverkleidung,None,2015104452-Beschädigung-3-42.jpg,Broken / torn,renew,Clothes / covers,Trunk cladding,None,./person/w2/image/2015104452-Beschädigung-3-42.jpg,./person/w2/data/annotation/2015104452-Beschädigung-3-42.xml
TUEV Sued,2018206316,5,2018206316-Beschaedigung_5:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_36.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,574.64,574.64,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2018206316,Verglasung,Frontscheibe,None,2018206316-Beschädigung-5-36.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2018206316-Beschädigung-5-36.jpg,./person/w2/data/annotation/2018206316-Beschädigung-5-36.xml
TUEV Sued,2020201949,4,2020201949-Beschaedigung_4:_Heckbereich:_Kofferboden____(Pladtikblende)____-_gebrochen_|_gerissen_-_erneuern_41.jpg,Heckbereich,Kofferboden,Pladtikblende,gebrochen / gerissen,erneuern,107.0,107.0,Kofferboden (Pladtikblende) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020201949,Heckbereich,Kofferboden,Pladtikblende,2020201949-Beschädigung-4-41.jpg,Broken / torn,renew,Tail area,Suitcase,Plague,./person/w2/image/2020201949-Beschädigung-4-41.jpg,./person/w2/data/annotation/2020201949-Beschädigung-4-41.xml
TUEV Sued,2020110759,7,2020110759-Beschaedigung_7:_Stossfaenger_hinten:_Stossfaenger_hinten__-_gebrochen_|_gerissen_-_erneuern_50.jpg,Stossfaenger hinten,Stossfaenger hinten,None,gebrochen / gerissen,erneuern,778.72,373.26,Stossfaenger hinten - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2020110759,Stossfaenger hinten,Stossfaenger hinten,None,2020110759-Beschädigung-7-50.jpg,Broken / torn,renew,Rear bumper,Rear bumper,None,./person/w2/image/2020110759-Beschädigung-7-50.jpg,./person/w2/data/annotation/2020110759-Beschädigung-7-50.xml
TUEV Sued,2019096264,3,2019096264-Beschaedigung_3:_Verglasung:_Frontscheibe__-_gebrochen_|_gerissen_-_erneuern_30.jpg,Verglasung,Frontscheibe,None,gebrochen / gerissen,erneuern,605.92,605.92,Frontscheibe - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2019096264,Verglasung,Frontscheibe,None,2019096264-Beschädigung-3-30.jpg,Broken / torn,renew,glazing,Windscreen,None,./person/w2/image/2019096264-Beschädigung-3-30.jpg,./person/w2/data/annotation/2019096264-Beschädigung-3-30.xml
TUEV Sued,2019285581,2,2019285581-Beschaedigung_2:_2.Radsatz:_1_Reifen____(Flanke)____-_gebrochen_|_gerissen_-_erneuern_34.jpg,2.Radsatz,1 Reifen,Flanke,gebrochen / gerissen,erneuern,120.0,120.0,1 Reifen (Flanke) - gebrochen / gerissen - erneuern,False,False,erneuern,gebrochen / gerissen,2019285581,2.Radsatz,1 Reifen,Flanke,2019285581-Beschädigung-2-34.jpg,Broken / torn,renew,2nd wheelset,1 tire,Flank,./person/w2/image/2019285581-Beschädigung-2-34.jpg,./person/w2/data/annotation/2019285581-Beschädigung-2-34.xml
