Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2015026698,4,2015026698-Beschaedigung_4:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_Smart_Repair_47.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,Smart Repair,90.0,90.0,Sitzbezug links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2015026698,Sitz vorn,Sitzbezug links,None,2015026698-Beschädigung-4-47.jpg,Fire hole,Smart Repair,Seat,Seat cover left,None,./person/w3/image/2015026698-Beschädigung-4-47.jpg,./person/w3/data/annotation/2015026698-Beschädigung-4-47.xml
TUEV Sued,2020263243,5,2020263243-Beschaedigung_5:_Verkleidungen|Abdeckungen:_Bodenbelag_vorn_links__-_Brandloch_-_Smart_Repair_49.jpg,Verkleidungen/Abdeckungen,Bodenbelag vorn links,None,Brandloch,Smart Repair,90.0,90.0,Bodenbelag vorn links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2020263243,Verkleidungen/Abdeckungen,Bodenbelag vorn links,None,2020263243-Beschädigung-5-49.jpg,Fire hole,Smart Repair,Clothes / covers,Flooring front left,None,./person/w3/image/2020263243-Beschädigung-5-49.jpg,./person/w3/data/annotation/2020263243-Beschädigung-5-49.xml
TUEV Sued,2015108229,5,2015108229-Beschaedigung_5:_Verkleidungen|Abdeckungen:_Teppichboden_vorn_links__-_Brandloch_-_Smart_Repair_43.jpg,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,Brandloch,Smart Repair,150.0,150.0,Teppichboden vorn links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2015108229,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,2015108229-Beschädigung-5-43.jpg,Fire hole,Smart Repair,Clothes / covers,Carpet front left,None,./person/w3/image/2015108229-Beschädigung-5-43.jpg,./person/w3/data/annotation/2015108229-Beschädigung-5-43.xml
TUEV Sued,2019225501,3,2019225501-Beschaedigung_3:_Verkleidungen|Abdeckungen:_Fußmatten__-_Brandloch_-_erneuern_30.jpg,Verkleidungen/Abdeckungen,Fußmatten,None,Brandloch,erneuern,80.0,70.0,Fußmatten - Brandloch - erneuern,False,False,erneuern,Brandloch,2019225501,Verkleidungen/Abdeckungen,Fußmatten,None,2019225501-Beschädigung-3-30.jpg,Fire hole,renew,Clothes / covers,Foot mats,None,./person/w3/image/2019225501-Beschädigung-3-30.jpg,./person/w3/data/annotation/2019225501-Beschädigung-3-30.xml
TUEV Sued,2016073162,7,2016073162-Beschaedigung_7:_Verkleidungen|Abdeckungen:_Dachhimmel__-_Brandloch_-_Smart_Repair_49.jpg,Verkleidungen/Abdeckungen,Dachhimmel,None,Brandloch,Smart Repair,120.0,120.0,Dachhimmel - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2016073162,Verkleidungen/Abdeckungen,Dachhimmel,None,2016073162-Beschädigung-7-49.jpg,Fire hole,Smart Repair,Clothes / covers,Sky,None,./person/w3/image/2016073162-Beschädigung-7-49.jpg,./person/w3/data/annotation/2016073162-Beschädigung-7-49.xml
TUEV Sued,2015038946,4,2015038946-Beschaedigung_4:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_Smart_Repair_36.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,Smart Repair,100.0,100.0,Sitzbezug links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2015038946,Sitz vorn,Sitzbezug links,None,2015038946-Beschädigung-4-36.jpg,Fire hole,Smart Repair,Seat,Seat cover left,None,./person/w3/image/2015038946-Beschädigung-4-36.jpg,./person/w3/data/annotation/2015038946-Beschädigung-4-36.xml
TUEV Sued,2018177864,5,2018177864-Beschaedigung_5:_Verkleidungen|Abdeckungen:_Teppichboden_vorn_links__-_Brandloch_-_erneuern_31.jpg,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,Brandloch,erneuern,235.0,235.0,Teppichboden vorn links - Brandloch - erneuern,False,False,erneuern,Brandloch,2018177864,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,2018177864-Beschädigung-5-31.jpg,Fire hole,renew,Clothes / covers,Carpet front left,None,./person/w3/image/2018177864-Beschädigung-5-31.jpg,./person/w3/data/annotation/2018177864-Beschädigung-5-31.xml
TUEV Sued,2020136758,4,2020136758-Beschaedigung_4:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_erneuern_39.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,erneuern,300.0,300.0,Sitzbezug links - Brandloch - erneuern,False,False,erneuern,Brandloch,2020136758,Sitz vorn,Sitzbezug links,None,2020136758-Beschädigung-4-39.jpg,Fire hole,renew,Seat,Seat cover left,None,./person/w3/image/2020136758-Beschädigung-4-39.jpg,./person/w3/data/annotation/2020136758-Beschädigung-4-39.xml
TUEV Sued,2015090868,5,2015090868-Beschaedigung_5:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_Smart_Repair_41.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,Smart Repair,60.0,60.0,Sitzbezug links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2015090868,Sitz vorn,Sitzbezug links,None,2015090868-Beschädigung-5-41.jpg,Fire hole,Smart Repair,Seat,Seat cover left,None,./person/w3/image/2015090868-Beschädigung-5-41.jpg,./person/w3/data/annotation/2015090868-Beschädigung-5-41.xml
TUEV Sued,2020079592,3,2020079592-Beschaedigung_3:_Verkleidungen|Abdeckungen:_Fußmatten__-_Brandloch_-_erneuern_27.jpg,Verkleidungen/Abdeckungen,Fußmatten,None,Brandloch,erneuern,110.0,110.0,Fußmatten - Brandloch - erneuern,False,False,erneuern,Brandloch,2020079592,Verkleidungen/Abdeckungen,Fußmatten,None,2020079592-Beschädigung-3-27.jpg,Fire hole,renew,Clothes / covers,Foot mats,None,./person/w3/image/2020079592-Beschädigung-3-27.jpg,./person/w3/data/annotation/2020079592-Beschädigung-3-27.xml
TUEV Sued,2020046828,6,2020046828-Beschaedigung_6:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_Smart_Repair_47.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,Smart Repair,120.0,120.0,Sitzbezug links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2020046828,Sitz vorn,Sitzbezug links,None,2020046828-Beschädigung-6-47.jpg,Fire hole,Smart Repair,Seat,Seat cover left,None,./person/w3/image/2020046828-Beschädigung-6-47.jpg,./person/w3/data/annotation/2020046828-Beschädigung-6-47.xml
TUEV Sued,2020187541,4,2020187541-Beschaedigung_4:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_erneuern_27.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,erneuern,90.0,90.0,Sitzbezug links - Brandloch - erneuern,False,False,erneuern,Brandloch,2020187541,Sitz vorn,Sitzbezug links,None,2020187541-Beschädigung-4-27.jpg,Fire hole,renew,Seat,Seat cover left,None,./person/w3/image/2020187541-Beschädigung-4-27.jpg,./person/w3/data/annotation/2020187541-Beschädigung-4-27.xml
TUEV Sued,2020305508,1,2020305508-Beschaedigung_1:_Ausruestung:_Tirefit_Fuellmittel__-_Brandloch_-_erneuern_39.jpg,Ausruestung,Tirefit Fuellmittel,None,Brandloch,erneuern,40.0,40.0,Tirefit Fuellmittel - Brandloch - erneuern,False,False,erneuern,Brandloch,2020305508,Ausruestung,Tirefit Fuellmittel,None,2020305508-Beschädigung-1-39.jpg,Fire hole,renew,Equipment,Tirefit Fuel,None,./person/w3/image/2020305508-Beschädigung-1-39.jpg,./person/w3/data/annotation/2020305508-Beschädigung-1-39.xml
TUEV Sued,2016020253,8,2016020253-Beschaedigung_8:_Sitz_vorn:_Sitzbezug_rechts__-_Brandloch_-_erneuern_55.jpg,Sitz vorn,Sitzbezug rechts,None,Brandloch,erneuern,300.0,300.0,Sitzbezug rechts - Brandloch - erneuern,False,False,erneuern,Brandloch,2016020253,Sitz vorn,Sitzbezug rechts,None,2016020253-Beschädigung-8-55.jpg,Fire hole,renew,Seat,Seat cover right,None,./person/w3/image/2016020253-Beschädigung-8-55.jpg,./person/w3/data/annotation/2016020253-Beschädigung-8-55.xml
TUEV Sued,2018160663,5,2018160663-Beschaedigung_5:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_erneuern_37.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,erneuern,180.0,180.0,Sitzbezug links - Brandloch - erneuern,False,False,erneuern,Brandloch,2018160663,Sitz vorn,Sitzbezug links,None,2018160663-Beschädigung-5-37.jpg,Fire hole,renew,Seat,Seat cover left,None,./person/w3/image/2018160663-Beschädigung-5-37.jpg,./person/w3/data/annotation/2018160663-Beschädigung-5-37.xml
TUEV Sued,2020093454,3,2020093454-Beschaedigung_3:_Verkleidungen|Abdeckungen:_Teppichboden_vorn_links__-_Brandloch_-_erneuern_56.jpg,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,Brandloch,erneuern,120.0,120.0,Teppichboden vorn links - Brandloch - erneuern,False,False,erneuern,Brandloch,2020093454,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,2020093454-Beschädigung-3-56.jpg,Fire hole,renew,Clothes / covers,Carpet front left,None,./person/w3/image/2020093454-Beschädigung-3-56.jpg,./person/w3/data/annotation/2020093454-Beschädigung-3-56.xml
TUEV Sued,2019068737,5,2019068737-Beschaedigung_5:_Verkleidungen|Abdeckungen:_Tuerverkleidung_vorn_links__-_Brandloch_-_erneuern_37.jpg,Verkleidungen/Abdeckungen,Tuerverkleidung vorn links,None,Brandloch,erneuern,300.0,300.0,Tuerverkleidung vorn links - Brandloch - erneuern,False,False,erneuern,Brandloch,2019068737,Verkleidungen/Abdeckungen,Tuerverkleidung vorn links,None,2019068737-Beschädigung-5-37.jpg,Fire hole,renew,Clothes / covers,Tower trim front left,None,./person/w3/image/2019068737-Beschädigung-5-37.jpg,./person/w3/data/annotation/2019068737-Beschädigung-5-37.xml
TUEV Sued,2015127109,4,2015127109-Beschaedigung_4:_Verkleidungen|Abdeckungen:_Teppichboden_vorn_links__-_Brandloch_-_Smart_Repair_33.jpg,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,Brandloch,Smart Repair,80.0,80.0,Teppichboden vorn links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2015127109,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,2015127109-Beschädigung-4-33.jpg,Fire hole,Smart Repair,Clothes / covers,Carpet front left,None,./person/w3/image/2015127109-Beschädigung-4-33.jpg,./person/w3/data/annotation/2015127109-Beschädigung-4-33.xml
TUEV Sued,2020197912,2,2020197912-Beschaedigung_2:_Interieur:_Innenraum__-_Brandloch_-_Smart_Repair_37.jpg,Interieur,Innenraum,None,Brandloch,Smart Repair,60.0,29.0,Innenraum - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2020197912,Interieur,Innenraum,None,2020197912-Beschädigung-2-37.jpg,Fire hole,Smart Repair,interior,inner space,None,./person/w3/image/2020197912-Beschädigung-2-37.jpg,./person/w3/data/annotation/2020197912-Beschädigung-2-37.xml
TUEV Sued,2019151510,3,2019151510-Beschaedigung_3:_Verkleidungen|Abdeckungen:_Teppichboden_vorn_links__-_Brandloch_-_Smart_Repair_31.jpg,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,Brandloch,Smart Repair,120.0,120.0,Teppichboden vorn links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2019151510,Verkleidungen/Abdeckungen,Teppichboden vorn links,None,2019151510-Beschädigung-3-31.jpg,Fire hole,Smart Repair,Clothes / covers,Carpet front left,None,./person/w3/image/2019151510-Beschädigung-3-31.jpg,./person/w3/data/annotation/2019151510-Beschädigung-3-31.xml
TUEV Sued,2015010233,7,2015010233-Beschaedigung_7:_Sitz_vorn:_Sitzbezug_links__-_Brandloch_-_Smart_Repair_32.jpg,Sitz vorn,Sitzbezug links,None,Brandloch,Smart Repair,60.0,60.0,Sitzbezug links - Brandloch - Smart Repair,False,False,Smart Repair,Brandloch,2015010233,Sitz vorn,Sitzbezug links,None,2015010233-Beschädigung-7-32.jpg,Fire hole,Smart Repair,Seat,Seat cover left,None,./person/w3/image/2015010233-Beschädigung-7-32.jpg,./person/w3/data/annotation/2015010233-Beschädigung-7-32.xml
