Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2016116355,1,2016116355-Beschaedigung_1:_Außenspiegel_links:_Abdeckkappe__-_Kratzer_-_lackieren_32.jpg,Außenspiegel links,Abdeckkappe,None,Kratzer,lackieren,61.75,40.0,Abdeckkappe - Kratzer - lackieren,False,False,lackieren,Kratzer,2016116355,Außenspiegel links,Abdeckkappe,None,2016116355-Beschädigung-1-32.jpg,scratch,paint,Exterior mirror left,Cap,None,./person/w3/image/2016116355-Beschädigung-1-32.jpg,./person/w3/data/annotation/2016116355-Beschädigung-1-32.xml
TUEV Sued,2020018966,4,2020018966-Beschaedigung_4:_Tuer_hinten_links:_Tuer__-_Kratzer_-_Smart_Repair_40.jpg,Tuer hinten links,Tuer,None,Kratzer,Smart Repair,150.0,150.0,Tuer - Kratzer - Smart Repair,False,False,Smart Repair,Kratzer,2020018966,Tuer hinten links,Tuer,None,2020018966-Beschädigung-4-40.jpg,scratch,Smart Repair,Door in the back left,Door,None,./person/w3/image/2020018966-Beschädigung-4-40.jpg,./person/w3/data/annotation/2020018966-Beschädigung-4-40.xml
TUEV Sued,2015120408,6,2015120408-Beschaedigung_6:_Rad|Reifen:_Leichtmetallfelge_vorn_rechts__-_Kratzer_-_erneuern_30.jpg,Rad/Reifen,Leichtmetallfelge vorn rechts,None,Kratzer,erneuern,750.0,320.0,Leichtmetallfelge vorn rechts - Kratzer - erneuern,False,False,erneuern,Kratzer,2015120408,Rad/Reifen,Leichtmetallfelge vorn rechts,None,2015120408-Beschädigung-6-30.jpg,scratch,renew,Wheel / tire,Alloy wheel front right,None,./person/w3/image/2015120408-Beschädigung-6-30.jpg,./person/w3/data/annotation/2015120408-Beschädigung-6-30.xml
TUEV Sued,2017083700,6,2017083700-Beschaedigung_6:_Heckklappe|-tuer:_Heckklappe____(Kratzer_unterhalb_und_Beklebung_entfernen)____-_Kratzer_-_Smart_Repair_48.jpg,Heckklappe/-tuer,Heckklappe,Kratzer unterhalb und Beklebung entfernen,Kratzer,Smart Repair,150.0,110.0,Heckklappe (Kratzer unterhalb und Beklebung entfernen) - Kratzer - Smart Repair,False,False,Smart Repair,Kratzer,2017083700,Heckklappe/-tuer,Heckklappe,Kratzer unterhalb und Beklebung entfernen,2017083700-Beschädigung-6-48.jpg,scratch,Smart Repair,Tailgate / tuer,Tailgate,Remove scratches below and remove,./person/w3/image/2017083700-Beschädigung-6-48.jpg,./person/w3/data/annotation/2017083700-Beschädigung-6-48.xml
TUEV Sued,2015123063,3,2015123063-Beschaedigung_3:_Seitenwand_links:_Seitenwand____(Delle_sanft_instandsetzen)____-_Kratzer_-_auslegen_|_polieren_44.jpg,Seitenwand links,Seitenwand,Delle sanft instandsetzen,Kratzer,auslegen / polieren,90.0,90.0,Seitenwand (Delle sanft instandsetzen) - Kratzer - auslegen / polieren,False,False,auslegen / polieren,Kratzer,2015123063,Seitenwand links,Seitenwand,Delle sanft instandsetzen,2015123063-Beschädigung-3-44.jpg,scratch,Lay out / polish,Sidewall left,Side wall,Delle gently repair,./person/w3/image/2015123063-Beschädigung-3-44.jpg,./person/w3/data/annotation/2015123063-Beschädigung-3-44.xml
TUEV Sued,2015124514,3,2015124514-Beschaedigung_3:_Heckklappe|-tuer:_Heckklappe__-_Kratzer_-_lackieren_32.jpg,Heckklappe/-tuer,Heckklappe,None,Kratzer,lackieren,459.88,199.58,Heckklappe - Kratzer - lackieren,False,False,lackieren,Kratzer,2015124514,Heckklappe/-tuer,Heckklappe,None,2015124514-Beschädigung-3-32.jpg,scratch,paint,Tailgate / tuer,Tailgate,None,./person/w3/image/2015124514-Beschädigung-3-32.jpg,./person/w3/data/annotation/2015124514-Beschädigung-3-32.xml
TUEV Sued,2020073368,1,2020073368-Beschaedigung_1:_2.Radsatz:_1_Radblende__-_Kratzer_-_erneuern_33.jpg,2.Radsatz,1 Radblende,None,Kratzer,erneuern,24.0,24.0,1 Radblende - Kratzer - erneuern,False,False,erneuern,Kratzer,2020073368,2.Radsatz,1 Radblende,None,2020073368-Beschädigung-1-33.jpg,scratch,renew,2nd wheelset,1 wheel cover,None,./person/w3/image/2020073368-Beschädigung-1-33.jpg,./person/w3/data/annotation/2020073368-Beschädigung-1-33.xml
TUEV Sued,2015103406,14,2015103406-Beschaedigung_14:_Tuer_vorn_links:_Tuer____(Delle)____-_Kratzer_-_instandsetzen_und_lackieren_63.jpg,Tuer vorn links,Tuer,Delle,Kratzer,instandsetzen und lackieren,501.28,212.77,Tuer (Delle) - Kratzer - instandsetzen und lackieren,False,False,instandsetzen und lackieren,Kratzer,2015103406,Tuer vorn links,Tuer,Delle,2015103406-Beschädigung-14-63.jpg,scratch,Repair and paint,Tower left,Door,Delle,./person/w3/image/2015103406-Beschädigung-14-63.jpg,./person/w3/data/annotation/2015103406-Beschädigung-14-63.xml
TUEV Sued,2015078513,10,2015078513-Beschaedigung_10:_Außenspiegel_rechts:_Abdeckkappe__-_Kratzer_-_lackieren_52.jpg,Außenspiegel rechts,Abdeckkappe,None,Kratzer,lackieren,121.92,45.41,Abdeckkappe - Kratzer - lackieren,False,False,lackieren,Kratzer,2015078513,Außenspiegel rechts,Abdeckkappe,None,2015078513-Beschädigung-10-52.jpg,scratch,paint,Exterior mirror right,Cap,None,./person/w3/image/2015078513-Beschädigung-10-52.jpg,./person/w3/data/annotation/2015078513-Beschädigung-10-52.xml
TUEV Sued,2019179599,1,2019179599-Beschaedigung_1:_Stossfaenger_vorn:_Stossfaenger_vorn__-_Kratzer_-_Smart_Repair_26.jpg,Stossfaenger vorn,Stossfaenger vorn,None,Kratzer,Smart Repair,120.0,120.0,Stossfaenger vorn - Kratzer - Smart Repair,False,False,Smart Repair,Kratzer,2019179599,Stossfaenger vorn,Stossfaenger vorn,None,2019179599-Beschädigung-1-26.jpg,scratch,Smart Repair,Shearful front,Shearful front,None,./person/w3/image/2019179599-Beschädigung-1-26.jpg,./person/w3/data/annotation/2019179599-Beschädigung-1-26.xml
TUEV Sued,2017109372,5,2017109372-Beschaedigung_5:_Kotfluegel_links:_Kotfluegel_links____(Auslegen)____-_Kratzer_-_Smart_Repair_51.jpg,Kotfluegel links,Kotfluegel links,Auslegen,Kratzer,Smart Repair,40.0,40.0,Kotfluegel links (Auslegen) - Kratzer - Smart Repair,False,False,Smart Repair,Kratzer,2017109372,Kotfluegel links,Kotfluegel links,Auslegen,2017109372-Beschädigung-5-51.jpg,scratch,Smart Repair,Kotfluegel left,Kotfluegel left,Lay out,./person/w3/image/2017109372-Beschädigung-5-51.jpg,./person/w3/data/annotation/2017109372-Beschädigung-5-51.xml
TUEV Sued,2019308118,2,2019308118-Beschaedigung_2:_Stossfaenger_hinten:_Stossfaenger_hinten__-_Kratzer_-_Smart_Repair_29.jpg,Stossfaenger hinten,Stossfaenger hinten,None,Kratzer,Smart Repair,120.0,120.0,Stossfaenger hinten - Kratzer - Smart Repair,False,False,Smart Repair,Kratzer,2019308118,Stossfaenger hinten,Stossfaenger hinten,None,2019308118-Beschädigung-2-29.jpg,scratch,Smart Repair,Rear bumper,Rear bumper,None,./person/w3/image/2019308118-Beschädigung-2-29.jpg,./person/w3/data/annotation/2019308118-Beschädigung-2-29.xml
