Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2015123092,5,2015123092-Beschaedigung_5:_Interieur:_Innenraum__-_verschmutzt_-_reinigen_44.jpg,Interieur,Innenraum,None,verschmutzt,reinigen,100.0,50.0,Innenraum - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2015123092,Interieur,Innenraum,None,2015123092-Beschädigung-5-44.jpg,dirty,to clean,interior,inner space,None,./person/w3/image/2015123092-Beschädigung-5-44.jpg,./person/w3/data/annotation/2015123092-Beschädigung-5-44.xml
TUEV Sued,2014092936,2,2014092936-Beschaedigung_2:_Sitz_vorn:_Sitzbezug_rechts__-_verschmutzt_-_reinigen_39.jpg,Sitz vorn,Sitzbezug rechts,None,verschmutzt,reinigen,40.0,19.0,Sitzbezug rechts - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2014092936,Sitz vorn,Sitzbezug rechts,None,2014092936-Beschädigung-2-39.jpg,dirty,to clean,Seat,Seat cover right,None,./person/w3/image/2014092936-Beschädigung-2-39.jpg,./person/w3/data/annotation/2014092936-Beschädigung-2-39.xml
TUEV Sued,2020374121,3,2020374121-Beschaedigung_3:_Interieur:_Innenraum__-_verschmutzt_-_reinigen_37.jpg,Interieur,Innenraum,None,verschmutzt,reinigen,100.0,50.0,Innenraum - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2020374121,Interieur,Innenraum,None,2020374121-Beschädigung-3-37.jpg,dirty,to clean,interior,inner space,None,./person/w3/image/2020374121-Beschädigung-3-37.jpg,./person/w3/data/annotation/2020374121-Beschädigung-3-37.xml
TUEV Sued,2019151731,8,2019151731-Beschaedigung_8:_Interieur:_Innenraum__-_verschmutzt_-_reinigen_37.jpg,Interieur,Innenraum,None,verschmutzt,reinigen,100.0,100.0,Innenraum - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2019151731,Interieur,Innenraum,None,2019151731-Beschädigung-8-37.jpg,dirty,to clean,interior,inner space,None,./person/w3/image/2019151731-Beschädigung-8-37.jpg,./person/w3/data/annotation/2019151731-Beschädigung-8-37.xml
TUEV Sued,2020150468,1,2020150468-Beschaedigung_1:_Sitz_vorn:_Sitzbezug_rechts__-_verschmutzt_-_reinigen_27.jpg,Sitz vorn,Sitzbezug rechts,None,verschmutzt,reinigen,20.0,20.0,Sitzbezug rechts - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2020150468,Sitz vorn,Sitzbezug rechts,None,2020150468-Beschädigung-1-27.jpg,dirty,to clean,Seat,Seat cover right,None,./person/w3/image/2020150468-Beschädigung-1-27.jpg,./person/w3/data/annotation/2020150468-Beschädigung-1-27.xml
TUEV Sued,2019244021,2,2019244021-Beschaedigung_2:_Karosserie:_Karosserie____(Lackreinig)____-_verschmutzt_-_Diagnose_durchfuehren_24.jpg,Karosserie,Karosserie,Lackreinig,verschmutzt,Diagnose durchfuehren,250.0,250.0,Karosserie (Lackreinig) - verschmutzt - Diagnose durchfuehren,False,False,Diagnose durchfuehren,verschmutzt,2019244021,Karosserie,Karosserie,Lackreinig,2019244021-Beschädigung-2-24.jpg,dirty,Perform diagnosis,body,body,Lacquer,./person/w3/image/2019244021-Beschädigung-2-24.jpg,./person/w3/data/annotation/2019244021-Beschädigung-2-24.xml
TUEV Sued,2015076346,4,2015076346-Beschaedigung_4:_Interieur:_Innenraum__-_verschmutzt_-_reinigen_43.jpg,Interieur,Innenraum,None,verschmutzt,reinigen,100.0,38.0,Innenraum - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2015076346,Interieur,Innenraum,None,2015076346-Beschädigung-4-43.jpg,dirty,to clean,interior,inner space,None,./person/w3/image/2015076346-Beschädigung-4-43.jpg,./person/w3/data/annotation/2015076346-Beschädigung-4-43.xml
TUEV Sued,2019285417,1,2019285417-Beschaedigung_1:_Interieur:_Innenraum__-_verschmutzt_-_reinigen_36.jpg,Interieur,Innenraum,None,verschmutzt,reinigen,100.0,50.0,Innenraum - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2019285417,Interieur,Innenraum,None,2019285417-Beschädigung-1-36.jpg,dirty,to clean,interior,inner space,None,./person/w3/image/2019285417-Beschädigung-1-36.jpg,./person/w3/data/annotation/2019285417-Beschädigung-1-36.xml
TUEV Sued,2015097299,2,2015097299-Beschaedigung_2:_Sitz_vorn:_Sitzbezug_links__-_verschmutzt_-_reinigen_41.jpg,Sitz vorn,Sitzbezug links,None,verschmutzt,reinigen,40.0,21.0,Sitzbezug links - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2015097299,Sitz vorn,Sitzbezug links,None,2015097299-Beschädigung-2-41.jpg,dirty,to clean,Seat,Seat cover left,None,./person/w3/image/2015097299-Beschädigung-2-41.jpg,./person/w3/data/annotation/2015097299-Beschädigung-2-41.xml
TUEV Sued,2019029194,2,2019029194-Beschaedigung_2:_Interieur:_Innenraum__-_verschmutzt_-_reinigen_36.jpg,Interieur,Innenraum,None,verschmutzt,reinigen,100.0,80.0,Innenraum - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2019029194,Interieur,Innenraum,None,2019029194-Beschädigung-2-36.jpg,dirty,to clean,interior,inner space,None,./person/w3/image/2019029194-Beschädigung-2-36.jpg,./person/w3/data/annotation/2019029194-Beschädigung-2-36.xml
TUEV Sued,2016077778,12,2016077778-Beschaedigung_12:_Interieur:_Innenraum__-_verschmutzt_-_aufbereiten_62.jpg,Interieur,Innenraum,None,verschmutzt,aufbereiten,300.0,110.0,Innenraum - verschmutzt - aufbereiten,False,False,aufbereiten,verschmutzt,2016077778,Interieur,Innenraum,None,2016077778-Beschädigung-12-62.jpg,dirty,processing,interior,inner space,None,./person/w3/image/2016077778-Beschädigung-12-62.jpg,./person/w3/data/annotation/2016077778-Beschädigung-12-62.xml
TUEV Sued,2014100491,1,2014100491-Beschaedigung_1:_Sitz_vorn:_Sitzbezug_links__-_verschmutzt_-_reinigen_33.jpg,Sitz vorn,Sitzbezug links,None,verschmutzt,reinigen,40.0,19.0,Sitzbezug links - verschmutzt - reinigen,False,False,reinigen,verschmutzt,2014100491,Sitz vorn,Sitzbezug links,None,2014100491-Beschädigung-1-33.jpg,dirty,to clean,Seat,Seat cover left,None,./person/w3/image/2014100491-Beschädigung-1-33.jpg,./person/w3/data/annotation/2014100491-Beschädigung-1-33.xml
