Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2015116329,8,2015116329-Beschaedigung_8:_Stossfaenger_vorn:_Stossfaenger_vorn__-_verformt_-_instandsetzen_und_lackieren_71.jpg,Stossfaenger vorn,Stossfaenger vorn,None,verformt,instandsetzen und lackieren,288.05,110.0,Stossfaenger vorn - verformt - instandsetzen und lackieren,False,False,instandsetzen und lackieren,verformt,2015116329,Stossfaenger vorn,Stossfaenger vorn,None,2015116329-Beschädigung-8-71.jpg,deformed,Repair and paint,Shearful front,Shearful front,None,./person/w4/image/2015116329-Beschädigung-8-71.jpg,./person/w4/data/annotation/2015116329-Beschädigung-8-71.xml
TUEV Sued,2020052402,4,2020052402-Beschaedigung_4:_Kotfluegel_links:_Kotfluegel_links__-_verformt_-_sanft_instandsetzen_26.jpg,Kotfluegel links,Kotfluegel links,None,verformt,sanft instandsetzen,80.0,80.0,Kotfluegel links - verformt - sanft instandsetzen,False,False,sanft instandsetzen,verformt,2020052402,Kotfluegel links,Kotfluegel links,None,2020052402-Beschädigung-4-26.jpg,deformed,regain,Kotfluegel left,Kotfluegel left,None,./person/w4/image/2020052402-Beschädigung-4-26.jpg,./person/w4/data/annotation/2020052402-Beschädigung-4-26.xml
TUEV Sued,2020053294,4,2020053294-Beschaedigung_4:_Stossfaenger_hinten:_Stossfaenger_hinten__-_verformt_-_Smart_Repair_44.jpg,Stossfaenger hinten,Stossfaenger hinten,None,verformt,Smart Repair,90.0,90.0,Stossfaenger hinten - verformt - Smart Repair,False,False,Smart Repair,verformt,2020053294,Stossfaenger hinten,Stossfaenger hinten,None,2020053294-Beschädigung-4-44.jpg,deformed,Smart Repair,Rear bumper,Rear bumper,None,./person/w4/image/2020053294-Beschädigung-4-44.jpg,./person/w4/data/annotation/2020053294-Beschädigung-4-44.xml
TUEV Sued,2019259059,2,2019259059-Beschaedigung_2:_Stossfaenger_vorn:_Stossfaenger_vorn__-_verformt_-_erneuern_31.jpg,Stossfaenger vorn,Stossfaenger vorn,None,verformt,erneuern,728.29,616.38,Stossfaenger vorn - verformt - erneuern,False,False,erneuern,verformt,2019259059,Stossfaenger vorn,Stossfaenger vorn,None,2019259059-Beschädigung-2-31.jpg,deformed,renew,Shearful front,Shearful front,None,./person/w4/image/2019259059-Beschädigung-2-31.jpg,./person/w4/data/annotation/2019259059-Beschädigung-2-31.xml
TUEV Sued,2020027958,3,2020027958-Beschaedigung_3:_Stossfaenger_vorn:_Stossfaenger_vorn__-_verformt_-_erneuern_25.jpg,Stossfaenger vorn,Stossfaenger vorn,None,verformt,erneuern,728.23,717.95,Stossfaenger vorn - verformt - erneuern,False,False,erneuern,verformt,2020027958,Stossfaenger vorn,Stossfaenger vorn,None,2020027958-Beschädigung-3-25.jpg,deformed,renew,Shearful front,Shearful front,None,./person/w4/image/2020027958-Beschädigung-3-25.jpg,./person/w4/data/annotation/2020027958-Beschädigung-3-25.xml
TUEV Sued,2016025975,4,2016025975-Beschaedigung_4:_Stossfaenger_hinten:_Stossfaenger_hinten__-_verformt_-_erneuern_45.jpg,Stossfaenger hinten,Stossfaenger hinten,None,verformt,erneuern,749.97,289.73,Stossfaenger hinten - verformt - erneuern,False,False,erneuern,verformt,2016025975,Stossfaenger hinten,Stossfaenger hinten,None,2016025975-Beschädigung-4-45.jpg,deformed,renew,Rear bumper,Rear bumper,None,./person/w4/image/2016025975-Beschädigung-4-45.jpg,./person/w4/data/annotation/2016025975-Beschädigung-4-45.xml
TUEV Sued,2020045300,16,2020045300-Beschaedigung_16:_Fahrzeugdach:_Dach____(Kante_hinten.)____-_verformt_-_instandsetzen_und_lackieren_107.jpg,Fahrzeugdach,Dach,Kante hinten.,verformt,instandsetzen und lackieren,850.0,450.0,Dach (Kante hinten.) - verformt - instandsetzen und lackieren,False,False,instandsetzen und lackieren,verformt,2020045300,Fahrzeugdach,Dach,Kante hinten.,2020045300-Beschädigung-16-107.jpg,deformed,Repair and paint,Vehicle roof,roof,Rear edge.,./person/w4/image/2020045300-Beschädigung-16-107.jpg,./person/w4/data/annotation/2020045300-Beschädigung-16-107.xml
TUEV Sued,2015093698,6,2015093698-Beschaedigung_6:_Stossfaenger_hinten:_Stossfaenger_hinten__-_verformt_-_erneuern_76.jpg,Stossfaenger hinten,Stossfaenger hinten,None,verformt,erneuern,612.4,232.88,Stossfaenger hinten - verformt - erneuern,False,False,erneuern,verformt,2015093698,Stossfaenger hinten,Stossfaenger hinten,None,2015093698-Beschädigung-6-76.jpg,deformed,renew,Rear bumper,Rear bumper,None,./person/w4/image/2015093698-Beschädigung-6-76.jpg,./person/w4/data/annotation/2015093698-Beschädigung-6-76.xml
TUEV Sued,2017074845,6,2017074845-Beschaedigung_6:_Stossfaenger_hinten:_Spoiler__-_verformt_-_erneuern_47.jpg,Stossfaenger hinten,Spoiler,None,verformt,erneuern,240.04,240.04,Spoiler - verformt - erneuern,False,False,erneuern,verformt,2017074845,Stossfaenger hinten,Spoiler,None,2017074845-Beschädigung-6-47.jpg,deformed,renew,Rear bumper,spoiler,None,./person/w4/image/2017074845-Beschädigung-6-47.jpg,./person/w4/data/annotation/2017074845-Beschädigung-6-47.xml
TUEV Sued,2015078935,6,2015078935-Beschaedigung_6:_Stossfaenger_hinten:_Stossfaenger_hinten__-_verformt_-_instandsetzen_und_lackieren_41.jpg,Stossfaenger hinten,Stossfaenger hinten,None,verformt,instandsetzen und lackieren,450.95,175.03,Stossfaenger hinten - verformt - instandsetzen und lackieren,False,False,instandsetzen und lackieren,verformt,2015078935,Stossfaenger hinten,Stossfaenger hinten,None,2015078935-Beschädigung-6-41.jpg,deformed,Repair and paint,Rear bumper,Rear bumper,None,./person/w4/image/2015078935-Beschädigung-6-41.jpg,./person/w4/data/annotation/2015078935-Beschädigung-6-41.xml
