Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2020204467,11,2020204467-Beschaedigung_11:_Rad|Reifen:_Leichtmetallfelge_hinten_rechts__-_verkratzt_|_verschuerft_-_erneuern_71.jpg,Rad/Reifen,Leichtmetallfelge hinten rechts,None,verkratzt / verschuerft,erneuern,470.0,470.0,Leichtmetallfelge hinten rechts - verkratzt / verschuerft - erneuern,False,False,erneuern,verkratzt / verschuerft,2020204467,Rad/Reifen,Leichtmetallfelge hinten rechts,None,2020204467-Beschädigung-11-71.jpg,scratched / shot,renew,Wheel / tire,Light metal frame rear right,None,./person/w4/image/2020204467-Beschädigung-11-71.jpg,./person/w4/data/annotation/2020204467-Beschädigung-11-71.xml
TUEV Sued,2020085192,3,2020085192-Beschaedigung_3:_Stossfaenger_vorn:_Stossfaenger_vorn__-_verkratzt_|_verschuerft_-_Smart_Repair_46.jpg,Stossfaenger vorn,Stossfaenger vorn,None,verkratzt / verschuerft,Smart Repair,120.0,120.0,Stossfaenger vorn - verkratzt / verschuerft - Smart Repair,False,False,Smart Repair,verkratzt / verschuerft,2020085192,Stossfaenger vorn,Stossfaenger vorn,None,2020085192-Beschädigung-3-46.jpg,scratched / shot,Smart Repair,Shearful front,Shearful front,None,./person/w4/image/2020085192-Beschädigung-3-46.jpg,./person/w4/data/annotation/2020085192-Beschädigung-3-46.xml
TUEV Sued,2020233053,8,2020233053-Beschaedigung_8:_Rad|Reifen:_Leichtmetallfelge_hinten_links__-_verkratzt_|_verschuerft_-_Wertminderung_63.jpg,Rad/Reifen,Leichtmetallfelge hinten links,None,verkratzt / verschuerft,Wertminderung,150.0,150.0,Leichtmetallfelge hinten links - verkratzt / verschuerft - Wertminderung,False,False,Wertminderung,verkratzt / verschuerft,2020233053,Rad/Reifen,Leichtmetallfelge hinten links,None,2020233053-Beschädigung-8-63.jpg,scratched / shot,Impairment,Wheel / tire,Alloy wheel rear left,None,./person/w4/image/2020233053-Beschädigung-8-63.jpg,./person/w4/data/annotation/2020233053-Beschädigung-8-63.xml
TUEV Sued,2019300973,3,2019300973-Beschaedigung_3:_Stossfaenger_vorn:_Stossfaenger_vorn_links__-_verkratzt_|_verschuerft_-_Smart_Repair_34.jpg,Stossfaenger vorn,Stossfaenger vorn links,None,verkratzt / verschuerft,Smart Repair,80.0,80.0,Stossfaenger vorn links - verkratzt / verschuerft - Smart Repair,False,False,Smart Repair,verkratzt / verschuerft,2019300973,Stossfaenger vorn,Stossfaenger vorn links,None,2019300973-Beschädigung-3-34.jpg,scratched / shot,Smart Repair,Shearful front,Shock Fenger front left,None,./person/w4/image/2019300973-Beschädigung-3-34.jpg,./person/w4/data/annotation/2019300973-Beschädigung-3-34.xml
TUEV Sued,2020089610,2,2020089610-Beschaedigung_2:_Rad|Reifen:_Leichtmetallfelge_vorn_rechts____(Winterreifen.)____-_verkratzt_|_verschuerft_-_Smart_Repair_41.jpg,Rad/Reifen,Leichtmetallfelge vorn rechts,Winterreifen.,verkratzt / verschuerft,Smart Repair,60.0,60.0,Leichtmetallfelge vorn rechts (Winterreifen.) - verkratzt / verschuerft - Smart Repair,False,False,Smart Repair,verkratzt / verschuerft,2020089610,Rad/Reifen,Leichtmetallfelge vorn rechts,Winterreifen.,2020089610-Beschädigung-2-41.jpg,scratched / shot,Smart Repair,Wheel / tire,Alloy wheel front right,Winter tires.,./person/w4/image/2020089610-Beschädigung-2-41.jpg,./person/w4/data/annotation/2020089610-Beschädigung-2-41.xml
TUEV Sued,2020324405,2,2020324405-Beschaedigung_2:_Rad|Reifen:_Reifen_vorn_links____(Winterradsatz)____-_verkratzt_|_verschuerft_-_erneuern_31.jpg,Rad/Reifen,Reifen vorn links,Winterradsatz,verkratzt / verschuerft,erneuern,140.0,140.0,Reifen vorn links (Winterradsatz) - verkratzt / verschuerft - erneuern,False,False,erneuern,verkratzt / verschuerft,2020324405,Rad/Reifen,Reifen vorn links,Winterradsatz,2020324405-Beschädigung-2-31.jpg,scratched / shot,renew,Wheel / tire,Tire front left,Winter wheelset,./person/w4/image/2020324405-Beschädigung-2-31.jpg,./person/w4/data/annotation/2020324405-Beschädigung-2-31.xml
TUEV Sued,2016096999,15,2016096999-Beschaedigung_15:_Tuer_hinten_rechts:_Tuer__-_verkratzt_|_verschuerft_-_lackieren_78.jpg,Tuer hinten rechts,Tuer,None,verkratzt / verschuerft,lackieren,515.41,198.7,Tuer - verkratzt / verschuerft - lackieren,False,False,lackieren,verkratzt / verschuerft,2016096999,Tuer hinten rechts,Tuer,None,2016096999-Beschädigung-15-78.jpg,scratched / shot,paint,Rear right,Door,None,./person/w4/image/2016096999-Beschädigung-15-78.jpg,./person/w4/data/annotation/2016096999-Beschädigung-15-78.xml
TUEV Sued,2019141724,5,2019141724-Beschaedigung_5:_Stossfaenger_vorn:_Spoiler__-_verkratzt_|_verschuerft_-_erneuern_40.jpg,Stossfaenger vorn,Spoiler,None,verkratzt / verschuerft,erneuern,127.84,110.0,Spoiler - verkratzt / verschuerft - erneuern,False,False,erneuern,verkratzt / verschuerft,2019141724,Stossfaenger vorn,Spoiler,None,2019141724-Beschädigung-5-40.jpg,scratched / shot,renew,Shearful front,spoiler,None,./person/w4/image/2019141724-Beschädigung-5-40.jpg,./person/w4/data/annotation/2019141724-Beschädigung-5-40.xml
TUEV Sued,2015120105,9,2015120105-Beschaedigung_9:_Fahrzeugdach:_Dach____(Basislack_beschaedigt)____-_verkratzt_|_verschuerft_-_instandsetzen_und_lackieren_73.jpg,Fahrzeugdach,Dach,Basislack beschaedigt,verkratzt / verschuerft,instandsetzen und lackieren,563.17,217.42,Dach (Basislack beschaedigt) - verkratzt / verschuerft - instandsetzen und lackieren,False,False,instandsetzen und lackieren,verkratzt / verschuerft,2015120105,Fahrzeugdach,Dach,Basislack beschaedigt,2015120105-Beschädigung-9-73.jpg,scratched / shot,Repair and paint,Vehicle roof,roof,Basic lacquer,./person/w4/image/2015120105-Beschädigung-9-73.jpg,./person/w4/data/annotation/2015120105-Beschädigung-9-73.xml
TUEV Sued,2019019359,3,2019019359-Beschaedigung_3:_Rad|Reifen:_Leichtmetallfelge_hinten_rechts__-_verkratzt_|_verschuerft_-_Wertminderung_37.jpg,Rad/Reifen,Leichtmetallfelge hinten rechts,None,verkratzt / verschuerft,Wertminderung,200.0,200.0,Leichtmetallfelge hinten rechts - verkratzt / verschuerft - Wertminderung,False,False,Wertminderung,verkratzt / verschuerft,2019019359,Rad/Reifen,Leichtmetallfelge hinten rechts,None,2019019359-Beschädigung-3-37.jpg,scratched / shot,Impairment,Wheel / tire,Light metal frame rear right,None,./person/w4/image/2019019359-Beschädigung-3-37.jpg,./person/w4/data/annotation/2019019359-Beschädigung-3-37.xml
