Gutachter,Akten-ID,Damage-ID,Image,Location,Specific Location,Detailed Location,Damage,Repair Action,Cost,Undervalue,Description,status,dirty,action,damage,uid,part,part_p1,part_p2,bildname,damage_en,action_en,part_en,part_p1_en,part_p2_en,img_file_path,ann_file_path
TUEV Sued,2018131037,1,2018131037-Beschaedigung_1:_Motorhaube:_Daemmmatte__-_Marderschaden_-_erneuern_31.jpg,Motorhaube,Daemmmatte,None,Marderschaden,erneuern,44.77,44.77,Daemmmatte - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2018131037,Motorhaube,Daemmmatte,None,2018131037-Beschädigung-1-31.jpg,Marten damage,renew,Engine Hood,Dorm,None,./person/w5/image/2018131037-Beschädigung-1-31.jpg,./person/w5/data/annotation/2018131037-Beschädigung-1-31.xml
TUEV Sued,2019147548,1,2019147548-Beschaedigung_1:_Motorhaube:_Daemmmatte__-_Marderschaden_-_erneuern_24.jpg,Motorhaube,Daemmmatte,None,Marderschaden,erneuern,120.0,120.0,Daemmmatte - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2019147548,Motorhaube,Daemmmatte,None,2019147548-Beschädigung-1-24.jpg,Marten damage,renew,Engine Hood,Dorm,None,./person/w5/image/2019147548-Beschädigung-1-24.jpg,./person/w5/data/annotation/2019147548-Beschädigung-1-24.xml
TUEV Sued,2016026583,1,2016026583-Beschaedigung_1:_Fahrzeugdach:_Antennenstab__-_Marderschaden_-_erneuern_32.jpg,Fahrzeugdach,Antennenstab,None,Marderschaden,erneuern,30.0,30.0,Antennenstab - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2016026583,Fahrzeugdach,Antennenstab,None,2016026583-Beschädigung-1-32.jpg,Marten damage,renew,Vehicle roof,Antenna rod,None,./person/w5/image/2016026583-Beschädigung-1-32.jpg,./person/w5/data/annotation/2016026583-Beschädigung-1-32.xml
TUEV Sued,2020203973,3,2020203973-Beschaedigung_3:_Motorhaube:_Daemmmatte____(Folgekosten_moeglich)____-_Marderschaden_-_erneuern_44.jpg,Motorhaube,Daemmmatte,Folgekosten moeglich,Marderschaden,erneuern,46.58,18.0,Daemmmatte (Folgekosten moeglich) - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2020203973,Motorhaube,Daemmmatte,Folgekosten moeglich,2020203973-Beschädigung-3-44.jpg,Marten damage,renew,Engine Hood,Dorm,Subsequent costs possible,./person/w5/image/2020203973-Beschädigung-3-44.jpg,./person/w5/data/annotation/2020203973-Beschädigung-3-44.xml
TUEV Sued,2018097350,7,2018097350-Beschaedigung_7:_Motorhaube:_Daemmmatte__-_Marderschaden_-_erneuern_37.jpg,Motorhaube,Daemmmatte,None,Marderschaden,erneuern,145.05,145.05,Daemmmatte - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2018097350,Motorhaube,Daemmmatte,None,2018097350-Beschädigung-7-37.jpg,Marten damage,renew,Engine Hood,Dorm,None,./person/w5/image/2018097350-Beschädigung-7-37.jpg,./person/w5/data/annotation/2018097350-Beschädigung-7-37.xml
TUEV Sued,2017145568,4,2017145568-Beschaedigung_4:_Fahrzeugdach:_Antennenstab__-_Marderschaden_-_erneuern_44.jpg,Fahrzeugdach,Antennenstab,None,Marderschaden,erneuern,30.0,30.0,Antennenstab - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2017145568,Fahrzeugdach,Antennenstab,None,2017145568-Beschädigung-4-44.jpg,Marten damage,renew,Vehicle roof,Antenna rod,None,./person/w5/image/2017145568-Beschädigung-4-44.jpg,./person/w5/data/annotation/2017145568-Beschädigung-4-44.xml
TUEV Sued,2020153963,4,2020153963-Beschaedigung_4:_Motorhaube:_Daemmmatte__-_Marderschaden_-_erneuern_51.jpg,Motorhaube,Daemmmatte,None,Marderschaden,erneuern,118.66,60.0,Daemmmatte - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2020153963,Motorhaube,Daemmmatte,None,2020153963-Beschädigung-4-51.jpg,Marten damage,renew,Engine Hood,Dorm,None,./person/w5/image/2020153963-Beschädigung-4-51.jpg,./person/w5/data/annotation/2020153963-Beschädigung-4-51.xml
TUEV Sued,2020122788,2,2020122788-Beschaedigung_2:_Fahrerhaus:_Daemmmatte__-_Marderschaden_-_erneuern_29.jpg,Fahrerhaus,Daemmmatte,None,Marderschaden,erneuern,48.62,48.62,Daemmmatte - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2020122788,Fahrerhaus,Daemmmatte,None,2020122788-Beschädigung-2-29.jpg,Marten damage,renew,Cab,Dorm,None,./person/w5/image/2020122788-Beschädigung-2-29.jpg,./person/w5/data/annotation/2020122788-Beschädigung-2-29.xml
TUEV Sued,2020187395,3,2020187395-Beschaedigung_3:_Motor:_Motoroelwanne____(OElwannenverkleidung)____-_Marderschaden_-_erneuern_34.jpg,Motor,Motoroelwanne,OElwannenverkleidung,Marderschaden,erneuern,80.0,80.0,Motoroelwanne (OElwannenverkleidung) - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2020187395,Motor,Motoroelwanne,OElwannenverkleidung,2020187395-Beschädigung-3-34.jpg,Marten damage,renew,engine,Motor oil,Oil pan holding,./person/w5/image/2020187395-Beschädigung-3-34.jpg,./person/w5/data/annotation/2020187395-Beschädigung-3-34.xml
TUEV Sued,2020122788,3,2020122788-Beschaedigung_3:_Motorhaube:_Daemmmatte__-_Marderschaden_-_erneuern_31.jpg,Motorhaube,Daemmmatte,None,Marderschaden,erneuern,88.81,88.81,Daemmmatte - Marderschaden - erneuern,False,False,erneuern,Marderschaden,2020122788,Motorhaube,Daemmmatte,None,2020122788-Beschädigung-3-31.jpg,Marten damage,renew,Engine Hood,Dorm,None,./person/w5/image/2020122788-Beschädigung-3-31.jpg,./person/w5/data/annotation/2020122788-Beschädigung-3-31.xml
